CODE,COUNTRY,SUB-CHAPTER,TITLE,UNIT,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,Unnamed: 73
EU27.1.0.0.0.UDGG,European Union,01 Based on ESA 2010,General government consolidated gross debt :- Excessive deficit procedure (based on ESA 2010),"Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5248.11428,5431.90829,5616.00237,5876.57248,6174.50872,6453.90235,6608.9438,6729.93127,7249.94443,8068.0853,8902.67691,9386.03596,9937.97988,10293.23987,10558.78381,10705.92297,10859.83305,10971.46051,11072.48472,11173.72721,12389.09339,13064.38497,13547.6075,14122.64694,14766.06143,15587.80564,16445.91419,17304.93412,
EU15.1.0.0.0.UDGG,European Union (15 countries),01 Based on ESA 2010,General government consolidated gross debt :- Excessive deficit procedure (based on ESA 2010),"Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5746.87547,5892.04666,6053.2439,6315.16519,6665.82728,7010.92773,7223.96177,7304.49424,7749.36274,8786.37348,9841.41426,10511.59592,11155.0427,11533.68319,12060.85409,12396.00614,12278.41854,12360.40037,12494.53678,12749.36912,14057.2224,15041.27181,15428.70279,16162.35167,17011.73448,17735.2871,18620.25007,19484.0259,
EA19.1.0.0.0.UDGG,Euro area (19 countries),01 Based on ESA 2010,General government consolidated gross debt :- Excessive deficit procedure (based on ESA 2010),"Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4124.67439,4406.31792,4482.54668,4642.99634,4796.35536,4878.91532,5034.15504,5201.31921,5455.53022,5713.45977,5978.2959,6118.92946,6234.17346,6744.70372,7486.6962,8236.1835,8698.2362,9195.4326,9525.9662,9777.6829,9900.7207,10047.3973,10142.1028,10246.707,10344.7191,11403.4256,12027.498,12471.30308,12928.69805,13432.2952,14072.13841,14767.26298,15467.24954,
EA20.1.0.0.0.UDGG,Euro area (20 countries),01 Based on ESA 2010,General government consolidated gross debt :- Excessive deficit procedure (based on ESA 2010),"Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4128.63676,4411.08018,4487.79156,4648.07595,4802.66405,4887.35635,5043.8164,5211.71672,5467.15252,5726.67046,5993.4205,6134.46526,6250.66266,6763.26314,7508.7955,8261.457,8726.7659,9226.2734,9561.7846,9815.0269,9938.7709,10085.0988,10179.9875,10284.7455,10383.6378,11447.3075,12073.1269,12517.65037,12976.96191,13481.57918,14124.50919,14823.1908,15525.83649,
EA21.1.0.0.0.UDGG,Euro area (21 countries),01 Based on ESA 2010,General government consolidated gross debt :- Excessive deficit procedure (based on ESA 2010),"Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4139.18663,4419.83753,4497.10133,4657.09725,4812.3729,4897.53351,5054.08614,5220.60701,5475.27896,5734.19659,5999.80907,6140.18625,6255.95954,6768.11172,7513.90798,8267.31399,8733.0509,9233.27911,9568.93221,9826.64618,9950.64248,10099.28692,10193.1701,10297.17269,10395.94889,11462.43923,12090.14246,12537.00558,12998.63723,13506.55643,14159.14409,14862.3814,15570.75795,
EA12.1.0.0.0.UDGG,Euro area (12 countries),01 Based on ESA 2010,General government consolidated gross debt :- Excessive deficit procedure (based on ESA 2010),"Mrd ECU/EUR, Standard aggregation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4112.50541,4390.6369,4463.76656,4622.84072,4770.09592,4849.4603,5001.1448,5166.8425,5418.5835,5672.8647,5937.4357,6075.4658,6188.423,6693.9691,7420.3255,8158.2209,8609.4868,9091.9636,9409.9445,9654.2882,9774.2461,9919.0122,10011.89,10113.9574,10208.9015,11237.1866,11848.9618,12284.90794,12730.30741,13219.22382,13846.91467,14522.79089,15200.66813,
BEL.1.0.0.0.UDGG,Belgium,01 Based on ESA 2010,General government consolidated gross debt :- Excessive deficit procedure (based on ESA 2010),Mrd EURO-BEF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,276.7733,276.863,278.6218,277.5972,279.6298,281.3668,286.7444,288.4892,286.3789,288.5417,295.285,297.5901,300.5993,327.7227,347.3179,364.3525,389.5359,404.8984,414.6298,431.8637,439.1931,453.1934,455.0758,460.2097,468.3848,516.4385,550.2853,580.35429,617.17527,644.19855,692.46082,729.95409,768.57296,
BGR.1.0.0.0.UDGG,Bulgaria,01 Based on ESA 2010,General government consolidated gross debt :- Excessive deficit procedure (based on ESA 2010),Mrd EURO-BGN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5012,2.7342,9.4073,9.0213,9.7087,10.1692,10.2197,8.8847,8.1259,7.5264,6.3901,5.7209,5.2968,4.8485,5.1124,5.8569,6.2849,7.0056,7.1475,11.6191,11.8714,14.1879,13.1824,12.427,12.3109,15.1315,17.0153,19.35491,21.67499,24.97687,34.6349,39.19059,44.92146,
CZE.1.0.0.0.UDGG,Czech Republic,01 Based on ESA 2010,General government consolidated gross debt :- Excessive deficit procedure (based on ESA 2010),Mrd CZK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216.645,211.777,240.341,300.976,342.083,405.418,585.615,695.133,795.04,873.493,910.183,973.107,1054.633,1136.774,1319.002,1480.097,1613.65,1805.307,1840.247,1818.888,1836.047,1754.737,1749.677,1734.602,1740.263,2149.655,2566.752,2997.632,3234.102,3488.5,3786.25,4098.7122,4452.03285,
DNK.1.0.0.0.UDGG,Denmark,01 Based on ESA 2010,General government consolidated gross debt :- Excessive deficit procedure (based on ESA 2010),Mrd DKK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,710.098,687.4619,710.2537,693.0038,697.698,625.8539,559.3487,513.925,643.1599,744.5414,836.1673,924.0113,922.073,924.6129,964.6342,904.4644,876.1649,879.176,864.6334,883.0913,1051.5461,1011.7963,943.24959,919.01388,893.97655,855.20016,853.17339,862.45062,
