"","name","country","role_euro"
"1","Martin Kocher","Austria","governor"
"2","Pierre Wunsch","Belgium","governor"
"3","Dimitar Radev","Bulgaria","governor"
"4","Boris Vujcic","Croatia","governor"
"5","Christodoulos Patsalides","Cyprus","governor"
"6","Madis Müller","Estonia","governor"
"7","Olli Rehn","Finland","governor"
"8","François Villeroy de Galhau","France","governor"
"9","Joachim Nagel","Germany","governor"
"10","Yannis Stournaras","Greece","governor"
"11","Gabriel Makhlouf","Ireland","governor"
"12","Fabio Panetta","Italy","governor"
"13","Martinš Kazaks","Latvia","governor"
"14","Gediminas Šimkus","Lithuania","governor"
"15","Gaston Reinesch","Luxembourg","governor"
"16","Edward Scicluna","Malta","governor"
"17","Olaf Sleijpen","Netherlands","governor"
"18","Álvaro Santos Pereira","Portugal","governor"
"19","Peter Kažimír","Slovakia","governor"
"20","Primož Dolenc","Slovenia","governor"
"21","José Luis Escrivá","Spain","governor"
"22","Luis de Guindos","Spain","vice-president"
"23","Philip R. Lane","Ireland","chief economist"
"24","Christine Lagarde","France","president"
"25","Isabel Schnabel","Germany","executive board"
"26","Frank Elderson","Netherlands","executive board"
"27","Piero Cipollone","Italy","executive board"
