name;link_number;url
Martin Kocher;1;https://www.bis.org/speeches/20260630-united-diversity-constrained-heterogeneity
Martin Kocher;2;https://www.bis.org/speeches/20260630-concluding-remarks-monetary-policy-trade-offs-heterogeneous-currency-area
Martin Kocher;3;https://www.bis.org/speeches/20260520-why-our-changing-world-needs-strong-euro
Martin Kocher;4;https://www.bis.org/speeches/20251208-welcome-remarks-conference-european-economic-integration-2025
Pierre Wunsch;1;https://www.bis.org/speeches/20240808-beyond-hawks-and-doves-trying-get-it-right-uncertain-world
Pierre Wunsch;2;https://www.bis.org/speeches/20240306-lessons-recent-episode-high-inflation
Pierre Wunsch;3;https://www.bis.org/speeches/20240214-strategic-investment-and-reforms-view-enhancing-eus-growth-potential
Pierre Wunsch;4;https://www.bis.org/speeches/20221118-germs-war-and-central-banks
Pierre Wunsch;5;https://www.bis.org/speeches/20220615-household-access-consumer-credit-and-mortgage-loans
Pierre Wunsch;6;https://www.bis.org/speeches/20211020-climate-change-and-european-central-bank-we-need-both-enthusiasm-and-realism
Dimitar Radev;1;https://www.bis.org/speeches/20260520-money-growth-bulgaria-eurozone
Dimitar Radev;2;https://www.bis.org/speeches/20260420-current-environment-not-defined-primarily-baseline-scenario-it-defined-widening-range-outcomes-around-it
Dimitar Radev;3;https://www.bis.org/speeches/20260416-economic-prospects-uncertain-global-environment
Dimitar Radev;4;https://www.bis.org/speeches/20260325-euro-and-banking-sector-readiness-participate-and-shared-responsibility
Dimitar Radev;5;https://www.bis.org/speeches/20260217-bulgarias-membership-euro-area-marks-beginning-new-phase
Dimitar Radev;6;https://www.bis.org/speeches/20260210-bulgarias-accession-euro-area-culmination-long-process-economic-integration-policy-alignment-and-shared-responsibility
Dimitar Radev;7;https://www.bis.org/speeches/20260203-euro-sign-belonging
Dimitar Radev;8;https://www.bis.org/speeches/20251222-statement-bankers-day
Dimitar Radev;9;https://www.bis.org/speeches/20251222-bulgarias-accession-euro-area
Dimitar Radev;10;https://www.bis.org/speeches/20251120-opening-remarks-press-conference-christine-lagarde
Christodoulos Patsalides;1;https://www.bis.org/speeches/20260430-keynote-speech-eurofi-high-level-seminar
Christodoulos Patsalides;2;https://www.bis.org/speeches/20260302-fiscal-management-changing-times-initial-responses
Christodoulos Patsalides;3;https://www.bis.org/speeches/20260209-opening-remarks-13th-banking-payments-and-fintech-forum-and-expo
Christodoulos Patsalides;4;https://www.bis.org/speeches/20250616-navigating-economic-challenges-strategies-financial-resilience-and-growth
Christodoulos Patsalides;5;https://www.bis.org/speeches/20250502-economy-cyprus-developments-and-outlook
Christodoulos Patsalides;6;https://www.bis.org/speeches/20250325-current-landscape-and-future-challenges
Christodoulos Patsalides;7;https://www.bis.org/speeches/20250217-cyprus-and-euro-area-navigating-growth-stability-and-opportunities
Christodoulos Patsalides;8;https://www.bis.org/speeches/20250217-central-bank-cyprus-agenda-strategic-vision-and-priorities
Christodoulos Patsalides;9;https://www.bis.org/speeches/20241127-financial-landscape-europe-tailwinds-and-headwinds
Olli Rehn;1;https://www.bis.org/speeches/20260608-europes-economy-under-weight-power-politics
Olli Rehn;2;https://www.bis.org/speeches/20260608-systemic-risk-resilience-and-competitiveness-changing-technological-landscape
Olli Rehn;3;https://www.bis.org/speeches/20260428-european-safe-asset-crisis-pragmatism-strategic-necessity
Olli Rehn;4;https://www.bis.org/speeches/20260422-geopolitical-turmoil-and-eurozone
Olli Rehn;5;https://www.bis.org/speeches/20260331-how-navigate-geopolitical-turmoil-central-banking-european-perspective
Olli Rehn;6;https://www.bis.org/speeches/20251218-europe-and-finland-resilience-under-shadow-power-politics
Olli Rehn;7;https://www.bis.org/speeches/20251120-money-and-monetary-system-case-finland-1811-2030
Olli Rehn;8;https://www.bis.org/speeches/20251112-europe-and-euro-changing-international-monetary-system
Olli Rehn;9;https://www.bis.org/speeches/20251106-nordic-influence-europe
Olli Rehn;10;https://www.bis.org/speeches/20251002-monetary-policy-shadow-geopolitics-and-trade-tensions
Emmanuel Moulin;1;https://www.bis.org/speeches/20260622-innovation-monetary-sovereignty-striking-right-note
Joachim Nagel;1;https://www.bis.org/speeches/20260810-acting-together-sovereign-and-competitive-europe
Joachim Nagel;2;https://www.bis.org/speeches/20260731-euro-fragmented-world-stability-sovereignty-and-global-responsibility
Joachim Nagel;3;https://www.bis.org/speeches/20260630-digital-euro-promoting-innovation-safeguarding-sovereignty-strengthening-europe
Joachim Nagel;4;https://www.bis.org/speeches/20260624-digital-euro-promoting-innovation-safeguarding-sovereignty-strengthening-europe
Joachim Nagel;5;https://www.bis.org/speeches/20260622-new-forms-money-and-transmission-monetary-policy
Joachim Nagel;6;https://www.bis.org/speeches/20260618-act-now-and-advance-german-economy
Joachim Nagel;7;https://www.bis.org/speeches/20260513-stable-and-strong-turbulent-times-europes-responses-global-challenges
Joachim Nagel;8;https://www.bis.org/speeches/20260511-structural-challenges-german-economy
Joachim Nagel;9;https://www.bis.org/speeches/20260428-central-bank-independence-why-it-matters
Joachim Nagel;10;https://www.bis.org/speeches/20260428-digital-euro-anchoring-europes-strategic-autonomy-digital-future
Yannis Stournaras;1;https://www.bis.org/speeches/20260817-global-economy-2026-and-beyond-financing-europe-and-greeces-future
Yannis Stournaras;2;https://www.bis.org/speeches/20260618-challenge-and-opportunity-savings-and-investments-union
Yannis Stournaras;3;https://www.bis.org/speeches/20260603-what-can-central-banks-do-about-housing-affordability
Yannis Stournaras;4;https://www.bis.org/speeches/20260512-challenges-greek-insurance-market-and-supervisors
Yannis Stournaras;5;https://www.bis.org/speeches/20260430-contribution-economic-and-financial-committee-development-euro-area-and-future-challenges
Yannis Stournaras;6;https://www.bis.org/speeches/20260416-monetary-and-broader-policy-considerations-euro-area-under-present-energy-price-shock
Yannis Stournaras;7;https://www.bis.org/speeches/20260416-greek-economy-ten-years-after-crisis-lessons-national-economies-eurozone-and-future-challenges
Yannis Stournaras;8;https://www.bis.org/speeches/20260325-greek-economy-ten-years-after-crisis-lessons-national-economies-eurozone-and-future-challenges
Yannis Stournaras;9;https://www.bis.org/speeches/20260225-adoption-euro-historic-milestone-bulgaria-lessons-greece
Yannis Stournaras;10;https://www.bis.org/speeches/20260205-banking-and-financial-outlook-greece-and-europe-2026
Gabriel Makhlouf;1;https://www.bis.org/speeches/20260730-understanding-your-lane-managing-turning-points
Gabriel Makhlouf;2;https://www.bis.org/speeches/20260630-opening-remarks-10th-annual-macroprudential-conference
Gabriel Makhlouf;3;https://www.bis.org/speeches/20260622-opening-remarks-10th-annual-macroprudential-conference
Gabriel Makhlouf;4;https://www.bis.org/speeches/20260622-monetary-policy-and-economic-outlook
Gabriel Makhlouf;5;https://www.bis.org/speeches/20260603-publication-financial-stability-review-2026-1
Gabriel Makhlouf;6;https://www.bis.org/speeches/20260527-one-single-market-goods-services-and-capital
Gabriel Makhlouf;7;https://www.bis.org/speeches/20260409-opening-remarks-savings-and-investment-forum
Gabriel Makhlouf;8;https://www.bis.org/speeches/20260409-inflation-growth-and-monetary-policy-fractured-world
Gabriel Makhlouf;9;https://www.bis.org/speeches/20260407-bridge-future-mobilising-europes-savings-fragmenting-world
Gabriel Makhlouf;10;https://www.bis.org/speeches/20260302-institutions-anchors-and-their-discontents-role-central-banks
Fabio Panetta;1;https://www.bis.org/speeches/20260810-playing-long-game-how-should-monetary-policy-adapt-great-reconfiguration
Fabio Panetta;2;https://www.bis.org/speeches/20260731-economic-and-financial-system-amidst-uncertainty-and-innovation
Fabio Panetta;3;https://www.bis.org/speeches/20260730-finance-innovation-and-artificial-intelligence-drivers-development
Fabio Panetta;4;https://www.bis.org/speeches/20260630-mundells-plan-european-currency-theory-history
Fabio Panetta;5;https://www.bis.org/speeches/20260603-overview-economic-and-financial-developments-italy
Fabio Panetta;6;https://www.bis.org/speeches/20260421-statement-meeting-development-committee
Fabio Panetta;7;https://www.bis.org/speeches/20260416-address-ordinary-meeting-shareholders
Fabio Panetta;8;https://www.bis.org/speeches/20260323-introductory-remarks-conference-laying-groundwork-jobs-africa-core-infrastructure-and-business-environments
Fabio Panetta;9;https://www.bis.org/speeches/20260317-closing-remarks-financial-stability-board-cross-border-payments-summit
Fabio Panetta;10;https://www.bis.org/speeches/20260302-trade-and-finance-fragmented-world
Martinš Kazaks;1;https://www.bis.org/speeches/20251003-opening-speech-latvia-fintech-forum-2025
Martinš Kazaks;2;https://www.bis.org/speeches/20241009-financing-better-future-vital-role-finance-achieving-sustainable-growth
Gediminas Šimkus;1;https://www.bis.org/speeches/20250528-unlocking-power-motivation-anti-money-laundering
Gediminas Šimkus;2;https://www.bis.org/speeches/20241217-pillars-resilience-amid-global-geopolitical-shifts
Gediminas Šimkus;3;https://www.bis.org/speeches/20240517-united-fighting-darkness-growing-threats
Gediminas Šimkus;4;https://www.bis.org/speeches/20231004-descending-inflation-peak-lessons-and-insights
Gediminas Šimkus;5;https://www.bis.org/speeches/20230517-future-landscape-aml
Gediminas Šimkus;6;https://www.bis.org/speeches/20221025-central-europes-convergence
Gediminas Šimkus;7;https://www.bis.org/speeches/20220930-future-central-banking
Gediminas Šimkus;8;https://www.bis.org/speeches/20220615-evolution-structural-underpinnings-monetary-policy
Gediminas Šimkus;9;https://www.bis.org/speeches/20220523-investment-baltics-pandemic-war
Gediminas Šimkus;10;https://www.bis.org/speeches/20220520-investment-baltics-pandemic-war
Gaston Reinesch;1;https://www.bis.org/speeches/20151214-beyond-horizon-luxembourg-presidency-central-bankers-perspective
Gaston Reinesch;2;https://www.bis.org/speeches/20151007-how-achieve-stronger-growth-eu
Alexander Demarco;1;https://www.bis.org/speeches/20241128-no-room-complacency-heightened-global-trade-uncertainties
Olaf Sleijpen;1;https://www.bis.org/speeches/20260901-everyday-work-inclusion
Olaf Sleijpen;2;https://www.bis.org/speeches/20260622-geopolitics-trade-uncertainty-and-inflation-chimera-or-reality
Olaf Sleijpen;3;https://www.bis.org/speeches/20260618-racing-clock-europes-journey-savings-and-investment-union
Olaf Sleijpen;4;https://www.bis.org/speeches/20260318-standing-ukraine-strengthening-europe-resilience-growth-and-stability
Olaf Sleijpen;5;https://www.bis.org/speeches/20260312-providing-stability-unstable-world-task-central-banks
Olaf Sleijpen;6;https://www.bis.org/speeches/20260310-economic-resilience-uncertain-world-implications-europe-and-netherlands
Olaf Sleijpen;7;https://www.bis.org/speeches/20260217-repairing-vending-machine-how-savings-and-investment-union-key-europes-future
Olaf Sleijpen;8;https://www.bis.org/speeches/20251205-awakening-europes-inner-animal-building-resilient-and-innovative-economy
Olaf Sleijpen;9;https://www.bis.org/speeches/20251204-strengthening-europe-fragmented-world-integration-key-stability
Olaf Sleijpen;10;https://www.bis.org/speeches/20251114-great-power-comes-great-responsibility-case-policy-coordination
Álvaro Santos Pereira;1;https://www.bis.org/speeches/20251110-artificial-intelligence-and-financial-stability-navigating-risks-and-opportunities
