name;url;status;error
(To be appointed);;ok;
warmup-search-boris;https://www.bis.org/cbspeeches/index.htm?authors=1106&m=256&cbspeeches_page_length=25;ok;
Boris Vujčić;https://www.bis.org/cbspeeches/index.htm?authors=1106&m=256&cbspeeches_page_length=25;ok;
Christodoulos Patsalides;https://www.bis.org/cbspeeches/index.htm?authors=6461&m=256&cbspeeches_page_length=25;ok;
Christine Lagarde;https://www.bis.org/cbspeeches/index.htm?authors=3230&m=256&cbspeeches_page_length=25;ok;
Edward Scicluna;https://www.bis.org/cbspeeches/index.htm?authors=4399&m=256&cbspeeches_page_length=25&;ok;
Fabio Panetta;https://www.bis.org/cbspeeches/index.htm?authors=710&m=256&cbspeeches_page_length=25;ok;
François Villeroy de Galhau;https://www.bis.org/cbspeeches/index.htm?authors=1963&m=256&cbspeeches_page_length=25;ok;
Frank Elderson;https://www.bis.org/cbspeeches/index.htm?authors=1548&m=256&cbspeeches_page_length=25;ok;
Gabriel Makhlouf;https://www.bis.org/cbspeeches/index.htm?authors=3207&m=256&cbspeeches_page_length=25;ok;
Gaston Reinesch;https://www.bis.org/cbspeeches/index.htm?authors=1909&m=256&cbspeeches_page_length=25;ok;
Gediminas Šimkus;https://www.bis.org/cbspeeches/index.htm?authors=4485&m=256&cbspeeches_page_length=25;ok;
Isabel Schnabel;https://www.bis.org/cbspeeches/index.htm?authors=2776&m=256&cbspeeches_page_length=25;ok;
Joachim Nagel;https://www.bis.org/cbspeeches/index.htm?authors=505&m=256&cbspeeches_page_length=25;ok;
José Luis Escrivá;https://www.bis.org/cbspeeches/index.htm?authors=2366&m=256&cbspeeches_page_length=25;ok;
Luis de Guindos;https://www.bis.org/cbspeeches/index.htm?authors=2860&m=256&cbspeeches_page_length=25;ok;
Madis Müller;https://www.bis.org/cbspeeches/index.htm?authors=1439&m=256&cbspeeches_page_length=25;ok;
Mário Centeno;https://www.bis.org/cbspeeches/index.htm?authors=4083&m=256&cbspeeches_page_length=25;ok;
Martin Kocher;https://www.bis.org/cbspeeches/index.htm?authors=6939;ok;
Mārtiņš Kazāks;https://www.bis.org/cbspeeches/index.htm?authors=6708&m=256&cbspeeches_page_length=25;ok;
Olaf Sleijpen;https://www.bis.org/cbspeeches/index.htm?authors=4341&m=256&cbspeeches_page_length=25;ok;
Olli Rehn;https://www.bis.org/cbspeeches/index.htm?authors=2788&m=256&cbspeeches_page_length=25;ok;
Peter Kažimír;;ok;
Philip R. Lane;https://www.bis.org/cbspeeches/index.htm?authors=1411&m=256&cbspeeches_page_length=25;ok;
Piero Cipollone;https://www.bis.org/cbspeeches/index.htm?authors=4247&m=256&cbspeeches_page_length=25;ok;
Pierre Wunsch;https://www.bis.org/cbspeeches/index.htm?authors=4549&m=256&cbspeeches_page_length=25;ok;
Yannis Stournaras;https://www.bis.org/cbspeeches/index.htm?authors=1686&m=256&cbspeeches_page_length=25;ok;
