name;name_bis;country;role_euro;url;status;error
warmup-search-xx1;NA;dummy;governor;;error;URL not found
warmup-search-xx2;NA;dummy;governor;;error;URL not found
Martin Kocher;NA;Austria;governor;https://www.bis.org/speeches/central-bank?keywords=&start_date=&end_date=&person%5B%5D=46392;ok;
Pierre Wunsch;NA;Belgium;governor;https://www.bis.org/speeches/central-bank?keywords=&start_date=&end_date=&person%5B%5D=36921;ok;
Dimitar Radev;NA;Bulgaria;governor;https://www.bis.org/speeches/central-bank?keywords=&start_date=&end_date=&person%5B%5D=36492;ok;
Ante Žigman;NA;Croatia;governor;;error;URL not found
Christodoulos Patsalides;NA;Cyprus;governor;https://www.bis.org/speeches/central-bank?keywords=&start_date=&end_date=&person%5B%5D=41270;ok;
Ülo Kaasik;NA;Estonia;governor;;error;URL not found
Olli Rehn;NA;Finland;governor;https://www.bis.org/speeches/central-bank?keywords=&start_date=&end_date=&person%5B%5D=36637;ok;
Emmanuel Moulin;NA;France;governor;https://www.bis.org/speeches/central-bank?keywords=&start_date=&end_date=&person%5B%5D=84615;ok;
Joachim Nagel;NA;Germany;governor;https://www.bis.org/speeches/central-bank?keywords=&start_date=&end_date=&person%5B%5D=35918;ok;
Yannis Stournaras;NA;Greece;governor;https://www.bis.org/speeches/central-bank?keywords=&start_date=&end_date=&person%5B%5D=36295;ok;
Gabriel Makhlouf;NA;Ireland;governor;https://www.bis.org/speeches/central-bank?keywords=&start_date=&end_date=&person%5B%5D=36727;ok;
Fabio Panetta;NA;Italy;governor;https://www.bis.org/speeches/central-bank?keywords=&start_date=&end_date=&person%5B%5D=36000;ok;
Martinš Kazaks;NA;Latvia;governor;https://www.bis.org/speeches/central-bank?keywords=&start_date=&end_date=&person%5B%5D=46182;ok;
Gediminas Šimkus;NA;Lithuania;governor;https://www.bis.org/speeches/central-bank?keywords=&start_date=&end_date=&person%5B%5D=36878;ok;
Gaston Reinesch;NA;Luxembourg;governor;https://www.bis.org/speeches/central-bank?keywords=&start_date=&end_date=&person%5B%5D=36415;ok;
Alexander Demarco;NA;Malta;governor;https://www.bis.org/speeches/central-bank?keywords=&start_date=&end_date=&person%5B%5D=41276;ok;
Olaf Sleijpen;NA;Netherlands;governor;https://www.bis.org/speeches/central-bank?keywords=&start_date=&end_date=&person%5B%5D=36850;ok;
Álvaro Santos Pereira;NA;Portugal;governor;https://www.bis.org/speeches/central-bank?keywords=&start_date=&end_date=&person%5B%5D=46367;ok;
Peter Kažimír;NA;Slovakia;governor;https://www.bis.org/speeches/central-bank?keywords=&start_date=&end_date=&person%5B%5D=52667;ok;
Primož Dolenc;NA;Slovenia;governor;https://www.bis.org/speeches/central-bank?keywords=&start_date=&end_date=&person%5B%5D=40546;ok;
José Luis Escrivá;jose luis escrivá;Spain;governor;https://www.bis.org/speeches/central-bank?keywords=&start_date=&end_date=&person%5B%5D=38501;ok;
Boris Vujcic;NA;Croatia;vice-president;https://www.bis.org/speeches/central-bank?keywords=&start_date=&end_date=&person%5B%5D=36072;ok;
Philip R. Lane;philip r lane;Ireland;chief economist;https://www.bis.org/speeches/central-bank?keywords=&start_date=&end_date=&person%5B%5D=36152;ok;
Christine Lagarde;NA;France;president;https://www.bis.org/speeches/central-bank?keywords=&start_date=&end_date=&person%5B%5D=36731;ok;
Isabel Schnabel;NA;Germany;executive board;https://www.bis.org/speeches/central-bank?keywords=&start_date=&end_date=&person%5B%5D=36633;ok;
Frank Elderson;NA;Netherlands;executive board;https://www.bis.org/speeches/central-bank?keywords=&start_date=&end_date=&person%5B%5D=36185;ok;
Piero Cipollone;NA;Italy;executive board;https://www.bis.org/speeches/central-bank?keywords=&start_date=&end_date=&person%5B%5D=36823;ok;
