Name;Position
Christine Lagarde;President of the ECB
Luis de Guindos;Vice-President of the ECB
Piero Cipollone;Member of the Executive Board
Frank Elderson;Member of the Executive Board
Philip R. Lane;Member of the Executive Board
Isabel Schnabel;Member of the Executive Board
Pierre Wunsch;Governor comma Nationale Bank van België / Banque Nationale de Belgique
Joachim Nagel;President of Deutsche Bundesbank
Madis Müller;Governor comma Eesti Pank
Gabriel Makhlouf;Governor comma Central Bank of Ireland
Yannis Stournaras;Governor comma Bank of Greece
José Luis Escrivá;Governor comma Banco de España
François Villeroy de Galhau;Governor comma Banque de France
Boris Vuj?i?;Governor comma Hrvatska narodna banka
Fabio Panetta;Governor comma Banca d'Italia
Christodoulos Patsalides;Governor comma Central Bank of Cyprus
M?rti?š Kaz?ks;Governor comma Latvijas Banka
Gediminas Šimkus;Chairman of the Board comma Lietuvos bankas
Gaston Reinesch;Governor comma Banque centrale du Luxembourg
Edward Scicluna;Governor comma Central Bank of Malta
Olaf Sleijpen;President comma De Nederlandsche Bank
Martin Kocher;Governor comma Oesterreichische Nationalbank
Mário Centeno;Governor comma Banco de Portugal
(To be appointed);Governor comma Banka Slovenije
Peter Kažimír;Governor comma Národná banka Slovenska
Olli Rehn;Governor comma Suomen Pankki – Finlands Bank
