Name;Position
(To be appointed);Governor comma Banka Slovenije
Boris Vujčić;Governor comma Hrvatska narodna banka
Christine Lagarde;President of the ECB
Christodoulos Patsalides;Governor comma Central Bank of Cyprus
Edward Scicluna;Governor comma Central Bank of Malta
Fabio Panetta;Governor comma Banca d'Italia
François Villeroy de Galhau;Governor comma Banque de France
Frank Elderson;Member of the Executive Board
Gabriel Makhlouf;Governor comma Central Bank of Ireland
Gaston Reinesch;Governor comma Banque centrale du Luxembourg
Gediminas Šimkus;Chairman of the Board comma Lietuvos bankas
Isabel Schnabel;Member of the Executive Board
Joachim Nagel;President of Deutsche Bundesbank
José Luis Escrivá;Governor comma Banco de España
Luis de Guindos;Vice-President of the ECB
Madis Müller;Governor comma Eesti Pank
Mário Centeno;Governor comma Banco de Portugal
Martin Kocher;Governor comma Oesterreichische Nationalbank
Mārtiņš Kazāks;Governor comma Latvijas Banka
Olaf Sleijpen;President comma De Nederlandsche Bank
Olli Rehn;Governor comma Suomen Pankki – Finlands Bank
Peter Kažimír;Governor comma Národná banka Slovenska
Philip R. Lane;Member of the Executive Board
Piero Cipollone;Member of the Executive Board
Pierre Wunsch;Governor comma Nationale Bank van België / Banque Nationale de Belgique
Yannis Stournaras;Governor comma Bank of Greece
