freq,int_rt,geo\TIME_PERIOD	2025-04 	2025-05 	2025-06 	2025-07 	2025-08 	2025-09 	2025-10 	2025-11 	2025-12 	2026-01 	2026-02 	2026-03 
M,MCBY,AT	2.98000 	2.98000 	2.94000 	3.01000 	3.03000 	3.02000 	2.93520 	2.97050 	3.09740 	3.07630 	3.06540 	3.23990 
M,MCBY,BE	3.14000 	3.14000 	3.09000 	3.21000 	3.23000 	3.26000 	3.19000 	3.20000 	3.32000 	3.36000 	3.30000 	3.51000 
M,MCBY,BG	3.93000 	3.93000 	3.93000 	3.93000 	3.93000 	3.93000 	3.93000 	3.93000 	3.93000 	3.93000 	3.93000 	3.93000 
M,MCBY,CY	2.90000 	2.88000 	2.86000 	2.90000 	2.92000 	2.95000 	2.86000 	2.87000 	3.00000 	3.09000 	3.17000 	3.45000 
M,MCBY,CZ	4.09000 	4.16000 	4.23000 	4.30000 	4.35000 	4.42000 	4.46000 	4.61000 	4.65000 	4.46000 	4.37000 	4.72000 
M,MCBY,DE	2.51000 	2.56000 	2.52000 	2.63000 	2.67000 	2.69000 	2.61700 	2.65700 	2.81300 	2.80700 	2.74400 	2.91000 
M,MCBY,DK	2.31000 	2.31000 	2.34000 	2.37100 	2.37000 	2.36000 	2.32400 	2.37000 	2.70700 	2.72800 	2.63100 	2.79100 
M,MCBY,EA	3.05794 	3.05778 	3.00597 	3.09335 	3.12363 	3.15122 	3.06529 	3.08819 	3.21255 	3.20229 	3.11920 	3.33601 
M,MCBY,EE	3.41000 	3.32000 	3.20000 	3.23000 	3.22000 	3.27000 	3.24000 	3.30000 	3.38000 	3.26000 	3.11000 	3.28000 
M,MCBY,EL	3.44000 	3.37000 	3.29000 	3.36000 	3.37000 	3.39000 	3.30000 	3.30000 	3.44000 	3.43000 	3.39000 	3.71000 
M,MCBY,ES	3.23000 	3.20000 	3.16000 	3.24000 	3.26000 	3.26000 	3.14700 	3.17300 	3.27100 	3.26800 	3.17400 	3.38500 
M,MCBY,EU27_2020	3.38736 	3.40141 	3.38666 	3.43967 	3.47267 	3.50733 	3.42436 	3.43533 	3.53786 	3.50771 	3.40118 	3.65294 
M,MCBY,FI	2.94000 	2.95000 	2.90000 	3.04500 	3.09000 	3.09000 	3.01300 	3.03500 	3.16500 	3.25400 	3.16100 	3.32300 
M,MCBY,FR	3.26000 	3.26000 	3.24000 	3.36000 	3.42000 	3.51000 	3.44000 	3.44000 	3.56000 	3.53000 	3.40000 	3.64000 
M,MCBY,HR	3.05000 	3.04000 	3.04000 	3.05000 	2.98000 	2.88000 	2.92000 	2.94000 	3.14000 	2.94000 	3.09000 	3.19000 
M,MCBY,HU	6.99000 	6.95000 	7.08000 	7.02000 	7.03000 	6.96000 	6.78900 	6.97400 	6.89500 	6.66700 	6.48000 	7.12600 
M,MCBY,IE	2.90000 	2.89000 	2.85000 	2.92000 	2.94000 	2.95000 	2.87070 	2.89670 	3.01320 	3.06110 	3.03390 	3.19720 
M,MCBY,IT	3.71000 	3.63000 	3.50000 	3.54000 	3.53800 	3.56000 	3.44200 	3.45900 	3.55200 	3.49200 	3.38800 	3.73300 
M,MCBY,LT	2.88000 	2.88000 	2.88000 	2.88000 	2.88000 	2.88000 	2.88000 	2.88000 	2.88000 	2.88000 	2.88000 	2.88000 
M,MCBY,LU	2.87000 	2.88000 	2.88000 	2.92000 	2.89000 	2.93000 	2.89200 	2.94900 	3.10200 	3.05100 	2.92800 	3.12000 
M,MCBY,LV	3.36000 	3.30000 	3.25000 	3.17000 	3.17000 	3.18000 	3.29000 	3.53000 	3.66000 	3.66000 	3.53000 	3.70000 
M,MCBY,MT	3.37000 	3.43000 	3.37000 	3.50000 	3.54000 	3.55000 	3.44000 	3.45000 	3.72000 	3.67000 	3.57000 	3.80000 
M,MCBY,NL	2.71000 	2.80000 	2.76000 	2.84000 	2.88000 	2.88000 	2.79400 	2.83100 	2.96800 	2.94000 	2.84900 	3.01600 
M,MCBY,PL	5.30000 	5.41000 	5.53000 	5.34000 	5.40000 	5.47000 	5.41000 	5.28000 	5.21000 	5.10000 	4.99000 	5.58000 
M,MCBY,PT	3.11000 	3.08000 	3.02000 	3.11000 	3.12000 	3.13000 	3.02100 	3.02500 	3.14600 	3.18500 	3.12700 	3.36600 
M,MCBY,RO	6.63000 	6.83000 	7.37000 	7.13000 	7.17000 	7.29000 	7.07000 	6.82000 	6.72000 	6.59000 	5.99000 	6.33000 
M,MCBY,SE	2.42000 	2.40000 	2.31000 	2.36000 	2.43000 	2.56000 	2.58000 	2.66000 	2.82000 	2.80000 	2.64000 	2.76000 
M,MCBY,SI	3.10000 e	3.06000 e	3.02000 e	3.04000 e	3.17000 e	3.19000 e	3.11000 e	3.11000 e	3.25000 e	3.19000 e	3.09000 e	3.25000 e
M,MCBY,SK	3.49155 	3.48875 	3.42914 	3.42870 	3.45400 	3.47533 	3.39457 	3.37250 	3.46585 	3.41005 	3.27305 	3.50273 
M,MCBY,UK	4.58000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
