Country;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027
Austria;0,0;3,1895;1,317;1,4844;1,1416;2,5653;2,3204;3,2693;3,7752;1,4533;-3,5863;1,809;2,9275;0,6282;-0,2507;0,7558;1,3035;2,1172;2,2722;2,4842;1,755;-6,3183;4,9231;5,331;-0,7862;-0,6591;0,6157;0,5631;0,8781;"Real GDP growth in %
Source:
European Commission, AMECO Database, variable code: OVGD
This variable shows the real (i.e. inflation-adjusted) annual growth rate
of the Gross Domestic Product. The data for the current and next year are forecasts
provided by the European Commission."
Belgium;0,0;3,7167;1,0996;1,7069;1,038;3,5712;2,3217;2,5523;3,6769;0,4469;-1,9064;2,7103;1,9312;0,2158;0,3055;1,7655;1,4742;1,1935;1,4745;1,878;2,4429;-4,793;6,2545;4,0246;1,5613;1,0978;0,9831;0,6742;0,9401
Bulgaria;;;;;;;;;6,6544 (no €);6,1296 (no €);-3,3471 (no €);1,5554 (no €);2,0902 (no €);0,7488 (no €);-0,5428 (no €);0,9495 (no €);3,3976 (no €);3,0266 (no €);2,7459 (no €);2,3301 (no €);3,7933 (no €);-3,1332 (no €);7,8282 (no €);4,0839 (no €);1,6815 (no €);3,3871 (no €);3,0964;2,4994;2,1905
Croatia;;;;;;;;;;;;;;;-0,1337 (no €);-0,5577 (no €);2,32 (no €);3,4665 (no €);3,284 (no €);2,9111 (no €);3,1015 (no €);-8,3109 (no €);12,6322 (no €);7,2945 (no €);3,7616;3,8269;3,4026;2,6983;2,4523
Cyprus;;;;;;5,0263 (no €);4,8529 (no €);4,7138 (no €);5,0983 (no €);3,647;-2,0151;2,2827;0,4167;-3,4473;-6,5875;-1,776;3,4189;6,5736;5,7508;6,2716;5,8756;-3,2207;11,3976;8,7386;3,6204;3,9408;3,7732;2,2518;2,7461
Czech Republic;;;;;;4,7363 (no €);6,375 (no €);6,6232 (no €);5,4888 (no €);2,6123 (no €);-4,7983 (no €);2,7147 (no €);1,7724 (no €);-0,7707 (no €);-0,0418 (no €);2,2452 (no €);4,9588 (no €);2,5809 (no €);5,1736 (no €);2,8303 (no €);3,5658 (no €);-5,3049 (no €);4,029 (no €);2,8472 (no €);0,0476 (no €);1,2513 (no €);2,5805 (no €);1,7973 (no €);2,4296 (no €)
Denmark;0,0 (no €);3,724 (no €);0,95 (no €);0,4565 (no €);0,4411 (no €);2,7764 (no €);2,3596 (no €);3,8165 (no €);0,9872 (no €);-0,4172 (no €);-4,9745 (no €);1,5829 (no €);1,3108 (no €);-0,0054 (no €);1,3927 (no €);1,278 (no €);2,1044 (no €);3,073 (no €);3,0565 (no €);1,86 (no €);1,7114 (no €);-1,7801 (no €);6,5003 (no €);0,4438 (no €);0,6046 (no €);3,4778 (no €);2,9284 (no €);1,9104 (no €);1,7531 (no €)
Estonia;;;;;;6,8007 (no €);9,5231 (no €);9,7626 (no €);7,571 (no €);-5,1253 (no €);-14,6302 (no €);2,4497 (no €);7,607;3,672;1,7565;3,3228;1,8381;3,0931;5,6346;3,6997;3,7266;-2,8838;8,2549;-1,2262;-2,7442;-0,0901;0,5843;1,6;1,7498
Euro area (20 countries);0,0;3,8583;2,1584;0,9125;0,721;2,2968;1,7533;3,3136;2,9965;0,4092;-4,4568;2,0734;1,7244;-0,9537;-0,1797;1,4416;2,1114;1,8016;2,6209;1,7789;1,6211;-6,024;6,4076;3,6419;0,4279;0,9066;1,3924;0,8636;1,2108
Finland;0,0;5,7537;2,6403;1,6873;2,0118;4,0054;2,7773;4,0196;5,3128;0,7844;-8,076;3,1683;2,3904;-1,5228;-0,9797;-0,4781;0,4665;2,5719;3,3034;1,193;1,3497;-2,491;2,6763;0,763;-1,2897;0,3746;0,1734;0,8267;1,3703
France;0,0;4,141;1,8995;1,0678;0,9678;2,8683;1,8886;2,7141;2,5305;0,3802;-2,8246;2,0003;2,4376;0,1838;0,7818;0,9978;1,0668;0,86;2,0836;1,6459;2,0274;-7,4406;6,8823;2,7168;1,4392;1,1905;0,8409;0,7858;1,1288
Germany;0,0;2,8765;1,6361;-0,2283;-0,5298;1,1621;0,8855;3,8667;2,8891;0,8879;-5,5446;4,1346;3,758;0,4635;0,397;2,1802;1,663;2,2222;2,7979;1,1357;0,9777;-4,1319;3,91;1,8093;-0,8696;-0,4959;0,2396;0,577;0,8858
Greece;0,0 (no €);4,1378 (no €);4,6504;4,6831;5,7968;5,3779;1,1835;6,4434;3,5069;0,0575;-4,1193;-5,6937;-9,8768;-8,3311;-2,2721;0,7922;-0,2283;-0,0318;1,4731;2,0647;2,2772;-9,1962;8,6545;5,522;2,1359;2,0866;2,0731;1,7876;1,5951
