COUNTRY;UNIT;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027
Euro area (20 countries);Mrd ECU/EUR, Weighted mean of t/t-1 national growth rates (weights: t-1 current prices in ECU/EUR);9387.96837;9750.18689;9960.63527;10051.52317;10123.99041;10356.52302;10538.10516;10887.2927;11213.5258;11259.41552;10757.60898;10980.65897;11170.00621;11063.47758;11043.59329;11202.80048;11439.33904;11645.428;11950.64869;12163.24009;12360.41767;11615.8286;12360.1189;12810.26484;12865.08381;12981.71961;13162.47094;13276.14383;13436.88666
Belgium;Mrd EURO-BEF;349.5919;362.58519;366.5722;372.8292;376.699;390.1517;399.21;409.3992;424.45249;426.3494;418.2213;429.5564;437.8518;438.79669;440.1372;447.908;454.5109;459.9355;466.7171;475.4819;487.0974;463.7509;492.756;512.5875;520.5903;526.3051;531.4793;535.06269;540.09285
Bulgaria;Mrd EURO-BGN;32.49363;33.98419;35.28362;37.35544;39.31182;41.87117;44.82575;47.87506;51.06085;54.19067;52.37683;53.19148;54.30328;54.7099;54.41296;54.92959;56.79586;58.51486;60.12164;61.52256;63.85631;61.85555;66.69772;69.42157;70.5889;72.97981;75.23954;77.12009;78.80938
Czech Republic;Mrd CZK;3503.405;3643.915;3750.216;3806.974;3932.63601;4118.899;4381.48;4671.67301;4928.093;5056.828;4814.185;4944.874;5032.516;4993.732;4991.64401;5103.71701;5356.798;5495.05;5779.34001;5942.913;6154.824;5828.318;6063.142;6235.77;6238.73701;6316.80301;6479.80601;6596.26574;6756.52656
Denmark;Mrd DKK;1809.06305;1876.43272;1894.25944;1902.90731;1911.30085;1964.36529;2010.71663;2087.45538;2108.0622;2099.26781;1994.84017;2026.41644;2052.97878;2052.86726;2081.45699;2108.05801;2152.4203;2218.56515;2286.37509;2328.90184;2368.75869;2326.59227;2477.82669;2488.82409;2503.87121;2590.95174;2666.82602;2717.77308;2765.41702
Germany;Mrd EURO-DEM;2747.11819;2826.13968;2872.37933;2865.82296;2850.63979;2883.7667;2909.30203;3021.7955;3109.09872;3136.70448;2962.78819;3085.28875;3201.23294;3216.07104;3228.83869;3299.23339;3354.09984;3428.63538;3524.56541;3564.59376;3599.44603;3450.72;3585.64315;3650.51669;3618.77006;3600.82632;3609.45312;3630.28077;3662.43945
Estonia;Mrd EURO-EEK;13.33967;14.68533;15.54894;16.62695;17.88998;19.10662;20.92616;22.96909;24.70807;23.4417;20.01213;20.50237;22.06198;22.8721;23.27385;24.04719;24.48921;25.24668;26.66924;27.65593;28.68656;27.85929;30.15905;29.78924;28.97176;28.94567;29.11481;29.58065;30.09826
Ireland;Mrd EURO-IEP;138.67402;151.71427;159.76396;169.18901;174.2881;186.11902;196.80184;206.61803;217.58969;207.83282;197.24211;200.56163;203.78841;202.963;207.41385;226.88128;282.7485;286.20572;315.13785;339.36772;356.24408;381.72869;443.79086;477.1246;465.02294;477.11106;535.97511;529.43289;547.5612
Greece;Mrd EURO-GRD;167.28909;174.21123;182.31277;190.85073;201.91401;212.77267;215.29085;229.1629;237.19934;237.33567;227.55916;214.60252;193.40671;177.29373;173.26542;174.63807;174.23937;174.18397;176.74991;180.39922;184.50724;167.53952;182.03922;192.09141;196.19431;200.28805;204.44016;208.09469;211.41396
Spain;Mrd EURO-ESP;883.891;929.859;966.301;992.927;1022.11201;1053.946;1091.374;1135.503;1175.626;1184.645;1140.006;1141.079;1133.777;1101.293;1085.574;1102.08;1146.834;1180.266;1214.447;1243.538;1267.926;1129.214;1204.681;1281.42301;1312.95701;1358.323;1396.695;1430.16252;1458.04647
France;Mrd EURO-FRF;1868.1792;1945.5405;1982.4954;2003.6635;2023.0555;2081.0818;2120.3844;2177.933;2233.04521;2241.53461;2178.2213;2221.7928;2275.9507;2280.1347;2297.95981;2320.8896;2345.6478;2365.82111;2415.1157;2454.8663;2504.6374;2318.2762;2477.82781;2545.1445;2581.7746;2612.5098;2634.4797;2655.1812;2685.15301
Croatia;Mrd EURO-HRK;36.89002;37.97653;39.15807;41.43054;43.73755;45.56161;47.5331;49.94259;52.46432;53.49938;49.85484;49.18875;49.13419;48.03486;47.97065;47.70313;48.80983;50.50181;52.16027;53.6787;55.34356;50.74402;57.15412;61.3232;63.62996;66.06501;68.31294;70.15626;71.87668
Italy;Mrd EURO-ITL;1704.1632;1770.3205;1805.8408;1810.7153;1811.9204;1838.6285;1852.6464;1885.9844;1913.563;1893.9846;1793.5058;1820.9304;1833.5943;1776.2901;1743.9967;1743.9725;1759.4183;1781.1686;1809.7332;1824.6933;1832.52419;1670.0119;1819.1617;1906.8667;1924.4632;1939.5325;1949.9979;1960.63489;1972.32951
Cyprus;Mrd EURO-CYP;13.42452;14.22534;14.7876;15.33814;15.7405;16.53167;17.33394;18.15103;19.07642;19.77213;19.3737;19.81594;19.89851;19.21254;17.94691;17.62817;18.23086;19.42929;20.54663;21.83524;23.1182;22.37364;24.92369;27.10167;28.08287;29.18955;30.29094;30.97302;31.82358
Latvia;Mrd EURO-LVL;14.62741;15.4818;16.48202;17.74545;19.24124;20.92005;23.34998;26.34462;29.0883;28.10257;23.59491;22.73105;23.42124;25.13222;25.65901;26.19656;27.18767;27.88141;28.82909;30.07154;30.27463;29.22434;31.25325;31.84974;31.54983;31.53814;32.21239;32.67815;33.1857
Lithuania;Mrd EURO-LTL;22.15068;22.90793;24.39331;26.0325;28.77942;30.65067;33.02042;35.46242;39.39094;40.41488;34.41788;34.5649;36.75067;38.36141;39.91387;41.41964;42.59297;43.73102;45.74801;47.99806;50.2431;50.26461;53.47894;54.79736;55.20262;56.87536;58.53617;60.26471;61.5053
Luxembourg;Mrd EURO-LUF;36.69048;39.23611;40.44233;41.74672;42.84017;44.6526;45.76111;48.51438;52.44333;52.2848;50.59132;52.49376;53.04195;53.91698;55.62707;57.08621;58.38113;61.28745;62.09468;63.09522;64.82991;64.49924;68.96886;68.21199;68.27982;68.52468;68.96179;70.08594;71.50421
Hungary;Mrd HUF;30225.49986;31558.2555;32840.1601;34393.52112;35748.20542;37522.43368;39136.00459;40675.58825;40810.77533;41216.2047;38438.16405;38848.66469;39593.28061;39062.93477;39856.75997;41584.29289;43106.20157;44157.40724;45978.53992;48556.16039;51021.44646;48807.766;52333.10984;54506.17974;54060.80572;54444.13501;54721.5509;55708.57657;56878.03708
Malta;Mrd EURO-MTL;6.29716;6.70101;6.65028;6.83257;7.08491;7.11377;7.31874;7.48972;7.86693;8.21391;8.0993;8.60125;8.68658;9.04288;9.61189;10.34542;11.34071;11.80318;13.33422;14.29285;14.87671;14.36238;16.27988;16.70204;18.47808;19.62611;20.40364;21.15825;21.92129
Netherlands;Mrd EURO-NLG;617.76491;643.83274;658.79274;660.41224;661.05848;674.3873;688.10445;712.44474;740.12623;755.79281;728.09088;737.69697;750.77858;743.43726;743.21244;755.19718;771.21219;789.90854;811.87991;830.2181;849.31446;816.463;867.71104;911.15938;905.71008;915.43588;931.77304;940.76221;951.29197
Austria;Mrd EURO-ATS;294.10436;303.48489;307.48175;312.04591;315.60811;323.70427;331.21539;342.04394;354.95687;360.11547;347.20078;353.48158;363.82964;366.11539;365.19744;367.9576;372.75401;380.64603;389.29525;398.96622;405.96798;380.31788;399.04129;420.31403;417.00934;414.26087;416.81166;419.15888;422.83937
Poland;Mrd PLN;1129.343;1181.929;1196.511;1219.259;1262.21799;1326.475;1369.72899;1454.681;1553.024;1621.105;1663.499;1716.214;1806.409;1833.718;1846.265;1918.648;2003.678;2064.41299;2170.781;2306.36499;2412.007;2362.909;2526.592;2659.376;2666.014;2752.62499;2852.598;2951.57427;3032.92712
Portugal;Mrd EURO-PTE;184.14864;191.17608;194.89192;196.39438;194.56689;198.04717;199.59561;202.83911;207.92343;208.58722;202.07496;205.58626;202.06349;193.87809;191.97012;193.39338;196.46794;200.40543;207.04831;213.14854;219.00093;201.03271;212.20763;227.03212;234.07008;239.25378;243.71462;247.8409;252.34698
Romania;Mrd RON;509.101;521.63119;548.8509;580.1517;593.7339;655.64919;686.2558;741.35401;794.9821;868.97489;821.036;788.96799;824.4368;840.1309;842.4728;877.149;904.8409;930.7189;1006.9956;1061.3183;1103.3494;1063.6507;1123.0807;1170.11189;1196.53;1207.4902;1215.6749;1217.47053;1246.06561
Slovenia;Mrd EURO-SIT;30.23797;31.29567;32.18093;33.2373;34.29924;35.85849;37.24052;39.44099;42.25677;43.68176;40.36607;40.815;41.08251;39.88473;39.55617;40.64904;41.6219;42.88488;45.10391;47.07906;48.72929;46.7387;50.67264;52.02484;53.26086;54.18301;54.75732;55.8196;57.08671
Slovakia;Mrd EURO-SKK;46.78961;47.15888;48.53834;50.6824;53.14389;56.00808;59.64017;64.96346;71.99162;75.85281;71.67685;76.54413;78.50551;79.7374;80.29821;82.47265;86.74216;88.43173;90.97392;94.66939;96.82397;94.32058;99.65522;100.19793;102.31475;104.2983;105.14042;105.98962;107.601
Finland;Mrd EURO-FIM;177.31917;187.52165;192.47271;195.72036;199.65786;207.65491;213.42213;222.00079;233.79525;235.62922;216.59973;223.46223;228.80386;225.31954;223.11199;222.04537;223.08122;228.81872;236.37745;239.19738;242.42592;236.387;242.71354;244.56554;241.41129;242.31554;242.73582;244.7426;248.09621
Sweden;Mrd SEK;3305.247;3458.317;3505.378;3585.221;3652.66;3805.32599;3911.61399;4094.52399;4226.56699;4187.551;4009.345;4239.913;4374.059;4355.933;4405.489;4506.629;4704.391;4804.65;4895.113;4981.769;5111.705;5012.855;5274.82;5341.04199;5330.143;5384.393;5467.483;5563.73117;5684.47691
