Country;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026
Austria;3,58304;3,63061;3,4775;3,20621;3,0529;3,26639;3,17244;3,18491;2,97537;3,21031;2,96347;2,84298;2,78641;2,65689;2,46512;2,35176;2,09609;1,84748;1,63307;1,43122;1,35015;1,10512;0,94751;1,20189;1,48364;1,65772;1,82192
Belgium;6,71419;6,57147;5,83918;5,41671;4,85793;4,40495;4,14324;4,0292;4,02953;3,95393;3,64118;3,58893;3,56091;3,35085;3,29231;2,98319;2,77335;2,4125;2,17767;2,00813;1,968;1,69565;1,55729;1,9534;2,21247;2,38721;2,57133
Bulgaria;4,06828;4,17308;2,20965;2,17643;1,8446;1,55645;1,28898;1,11647;0,83806;0,72505;0,69531;0,71715;0,79547;0,76216;0,85968;0,91893;0,88202;0,80773;0,66258;0,55846;0,52422;0,48554;0,38645;0,49444;0,51721;0,90231;1,05163
Croatia;2,1506;2,25386;1,63974;1,65354;1,75363;1,76694;1,62978;1,64255;1,76287;2,18589;2,35512;2,63264;3,02156;3,06314;3,39352;3,40232;3,06564;2,63188;2,28892;2,18958;1,97935;1,53557;1,37473;1,63412;1,55334;1,47548;1,45446
Cyprus;3,18264;3,18125;2,96707;3,19417;2,97335;3,17292;2,95875;2,82157;2,63341;2,32176;1,96083;2,14472;3,34233;3,23442;3,3124;3,12971;2,63177;2,47878;2,34962;2,17599;2,03856;1,69276;1,30509;1,22198;1,21685;1,25396;1,29641
Czech Republic;0,75689;0,91848;1,08972;1,0365;1,07236;1,07353;1,0282;1,06526;0,99102;1,22456;1,29044;1,29471;1,40422;1,31967;1,28223;1,0534;0,90425;0,72482;0,72393;0,68122;0,7437;0,72214;1,11144;1,28613;1,33071;1,33196;1,32658
Denmark;3,82878;3,25649;2,98715;2,64856;2,37806;1,88173;1,65828;1,51364;1,40966;1,79679;1,76579;1,80927;1,63983;1,5578;1,35315;1,25958;1,06057;0,76325;0,80404;0,73931;0,51827;0,49599;0,70438;0,6832;0,78145;0,72988;0,74381
Estonia;0,28518;0,23918;0,25943;0,2298;0,21882;0,18862;0,168;0,16888;0,21121;0,19176;0,09565;0,10035;0,11556;0,08402;0,0766;0,06663;0,04417;0,04195;0,04047;0,03758;0,07035;0,06359;0,11102;0,36085;0,58648;0,49154;0,55259
Euro area (20 countries);3,828;3,71562;3,46801;3,23285;3,04444;2,93102;2,82757;2,87498;2,95291;2,82891;2,78217;3,00676;3,03733;2,78702;2,61851;2,33525;2,13214;1,9531;1,8404;1,63289;1,50273;1,43957;1,66755;1,72361;1,88821;1,97888;2,06407
Finland;2,71216;2,55371;2,02978;1,81592;1,69206;1,61114;1,49311;1,41667;1,39663;1,32831;1,40156;1,48238;1,51713;1,34646;1,30383;1,22031;1,15012;1,04225;0,97712;0,85235;0,67009;0,50851;0,5625;1,17391;1,58065;1,6453;1,80685
France;2,95931;3,05256;3,0281;2,87602;2,80115;2,71531;2,60344;2,68826;2,87283;2,54574;2,54038;2,71542;2,6309;2,33103;2,19692;2,03086;1,90117;1,78996;1,76876;1,51583;1,28216;1,3875;1,91914;1,87109;2,06056;2,3054;2,52797
Germany;3,1714;3,01526;2,97455;2,90408;2,78303;2,73009;2,68809;2,66248;2,66854;2,61386;2,44148;2,47478;2,29291;1,81065;1,59315;1,39011;1,18577;1,03474;0,92565;0,79304;0,64885;0,59082;0,70231;0,87332;1,05864;1,15008;1,19541
Greece;7,10849;6,48812;5,72868;5,03228;4,90669;4,80199;4,49046;4,56598;4,88114;5,1092;6,10894;7,6663;5,42014;4,16419;4,01541;3,58172;3,217;3,13792;3,36516;2,97168;2,95572;2,4532;2,49748;3,3914;3,47771;3,2629;3,08336
Hungary;5,27914;4,69897;3,9996;4,03283;4,33319;4,0606;3,84722;4,03197;4,05909;4,51093;4,09822;4,14088;4,56297;4,51089;3,9605;3,43836;3,07904;2,643;2,32171;2,21282;2,30965;2,23837;2,83676;4,69349;4,87495;3,98705;3,90791
Ireland;1,9423;1,43911;1,3187;1,21901;1,0967;1,02263;1,00062;1,00731;1,28309;2,01534;2,83854;3,33196;4,13182;4,24316;3,78414;2,54731;2,27272;1,91578;1,58318;1,26949;1,00233;0,7336;0,63806;0,65626;0,59747;0,51997;0,57638
Italy;6,10254;6,04315;5,42057;4,9406;4,58014;4,48437;4,41519;4,72814;4,90826;4,38727;4,25583;4,61975;5,11863;4,79004;4,5506;4,09529;3,88643;3,7451;3,62066;3,33768;3,42069;3,41947;4,08464;3,63007;3,89254;3,89593;3,95697
Latvia;0,95999;0,92433;0,74354;0,79287;0,77459;0,56981;0,4796;0,39699;0,60518;1,5888;1,81702;1,88113;1,74438;1,57022;1,40874;1,31059;1,11796;1,01622;0,80214;0,75432;0,7246;0,54284;0,50761;0,72507;1,0985;1,21528;1,37565
Lithuania;1,7315;1,50309;1,30472;1,23423;0,89391;0,76575;0,70001;0,66233;0,65508;1,23529;1,84431;1,85313;1,98162;1,76894;1,7031;1,60547;1,42527;1,1896;0,96001;0,92751;0,71462;0,47558;0,3463;0,58829;0,79738;0,97773;1,1501
Luxembourg;0,33459;0,3075;0,2666;0,24166;0,18624;0,19137;0,21551;0,28064;0,34757;0,36243;0,4116;0,50098;0,4776;0,498;0,40495;0,3749;0,36989;0,36944;0,34864;0,32712;0,22061;0,14691;0,15261;0,28716;0,30622;0,37771;0,45693
Malta;4,07036;3,73048;3,87559;3,53905;3,70763;3,8067;3,72823;3,49071;3,29992;3,19992;2,9831;3,11682;2,93203;2,7579;2,62615;2,26583;2,03234;1,68;1,41828;1,25804;1,18991;1,00599;0,91072;1,03103;1,15513;1,21023;1,32775
Netherlands;3,43859;3,01051;2,69357;2,47582;2,40945;2,25267;2,08582;2,06736;2,13896;2,10244;1,87956;1,85728;1,74012;1,67917;1,5191;1,34029;1,18804;1,01936;0,90566;0,77684;0,69311;0,54299;0,56851;0,67849;0,70631;0,71729;0,74785
Poland;2,99507;3,09931;2,86698;2,94858;2,69582;2,45564;2,35985;2,17423;2,10707;2,44613;2,49936;2,54237;2,67999;2,54303;1,9678;1,75085;1,70454;1,56092;1,42416;1,35825;1,28989;1,09404;1,52719;2,07169;2,20568;2,45951;2,70087
Portugal;3,00737;2,98833;2,83576;2,65842;2,56738;2,56779;2,7825;2,96615;3,11151;2,98153;2,91643;4,26593;4,82791;4,76887;4,81238;4,53352;4,09554;3,73353;3,31994;2,90312;2,83392;2,36395;1,88886;2,0541;2,05053;2,14288;2,23681
Romania;3,94816;3,44318;2,45765;1,64571;1,4583;1,24353;0,83927;0,70375;0,7226;1,90119;1,80909;1,93449;2,03909;1,90297;1,62815;1,4784;1,31358;1,07825;1,12157;1,15634;1,39292;1,46067;1,5208;2,03128;2,43151;3,11383;3,27027
Slovakia;4,04641;3,99489;3,56751;2,53477;2,19657;1,73869;1,464;1,41773;1,35278;1,45846;1,28673;1,54527;1,7807;1,90012;1,92523;1,75277;1,68244;1,43641;1,34007;1,23214;1,17118;1,07876;1,03588;1,15594;1,42085;1,64771;1,71925
Slovenia;2,39687;2,34664;2,1976;1,9584;1,69535;1,56381;1,39929;1,26763;1,11616;1,33697;1,65553;1,91451;2,04992;2,60976;3,30397;3,27881;3,07329;2,53775;2,02917;1,63039;1,5806;1,23454;1,12725;1,23842;1,29369;1,3343;1,32989
Spain;3,16337;2,96951;2,62916;2,29966;1,9887;1,74557;1,60879;1,5785;1,57691;1,71064;1,89733;2,48547;3,02646;3,56388;3,53299;3,06942;2,78067;2,53097;2,44111;2,2518;2,22518;2,11822;2,30946;2,37361;2,43319;2,54094;2,58032
Sweden;3,32966;2,65189;2,91443;2,10905;1,88065;1,81021;1,76228;1,69833;1,60498;1,31189;1,09807;1,23534;1,00419;0,86074;0,6664;0,54879;0,46601;0,42346;0,45177;0,39698;0,27743;0,22742;0,51116;0,71694;0,66113;0,73217;0,61451
"
                <li>
                General government interest payments in % government expenditure
                </li>
                <li>
                    Source:
                    <a href=""https://ec.europa.eu/economy_finance/db_indicators/ameco/documents/ameco0_CSV.zip"">
                    European Commission, AMECO Database, variable code: UYIG/D.41
                    </a>
                </li>
            "
