Country;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026
Austria;3,5830443;3,6306105;3,4774989;3,2062115;3,0528965;3,2663915;3,1724379;3,1849107;2,9753685;3,210311;2,9634695;2,8429775;2,7864135;2,656893;2,4651159;2,3517559;2,0960897;1,8474773;1,633074;1,4312239;1,3501495;1,1051196;0,9504217;1,2135959;1,5146034;1,732036;1,7958671
Belgium;6,7141905;6,5714743;5,8391786;5,4167102;4,8579323;4,4049496;4,1432378;4,0292021;4,0295318;3,9539316;3,6411774;3,5889281;3,5609067;3,3508499;3,2923143;2,9831929;2,7733518;2,4125003;2,1776667;2,0081348;1,9679962;1,6956521;1,5709127;2,0044528;2,260385;2,3892079;2,5411747
Bulgaria;4,068284;4,1730821;2,2096522;2,1764342;1,844602;1,5564504;1,2889761;1,1164748;0,8380573;0,7250469;0,6953087;0,7171532;0,7954713;0,7621568;0,859679;0,9189318;0,8820188;0,8077289;0,6610394;0,5574344;0,5237495;0,4853082;0,3864338;0,4934866;0,537018;0,6330748;0,6768927
Croatia;2,1506031;2,2538621;1,6397446;1,6535366;1,7536265;1,7669358;1,6295643;1,6423363;1,762715;2,185695;2,3548588;2,6320285;3,0213544;3,0628303;3,3932232;3,4019021;3,0653992;2,6317213;2,2889154;2,1895488;1,979226;1,5354731;1,3746936;1,6575617;1,5404773;1,473365;1,451009
Cyprus;3,1826393;3,1812516;2,9670692;3,1941669;2,9733467;3,1729197;2,9587518;2,8215663;2,6334146;2,3217647;1,9608317;2,1447189;3,3423321;3,2344162;3,3123985;3,1297108;2,6317699;2,4787766;2,3496191;2,1759893;2,0385597;1,6927636;1,3166673;1,2989789;1,2479258;1,2176684;1,2109962
Czech Republic;0,7568863;0,9184766;1,089716;1,0364969;1,0723572;1,0735312;1,0281986;1,0652567;0,9910183;1,2245581;1,2904443;1,2947107;1,4042151;1,3196655;1,282232;1,0533957;0,904248;0,7248215;0,7239343;0,6812174;0,7436966;0,7221428;1,1114386;1,2930713;1,3486406;1,3372303;1,334361
Denmark;3,8287833;3,2564865;2,9871498;2,6485633;2,3780627;1,8817309;1,6582794;1,513644;1,4096649;1,7967898;1,7657937;1,8092744;1,6398318;1,5577959;1,3531548;1,2595767;1,0605656;0,7632481;0,804041;0,7393093;0,5182687;0,4932386;0,712355;0,6614512;0,7319768;0,7226434;0,709639
Estonia;0,2851754;0,2391824;0,2594296;0,2298007;0,2188224;0,188622;0,1680033;0,1688802;0,2112051;0,191756;0,0956466;0,1003473;0,1155554;0,0840151;0,0765998;0,0666321;0,0441661;0,0419475;0,0404713;0,0375807;0,0703536;0,0635804;0,1105842;0,359801;0,5899757;0,5468179;0,5804454
Finland;2,7121552;2,5537123;2,0297763;1,8159168;1,6920644;1,6111401;1,4931072;1,4166653;1,3966322;1,3283077;1,4015637;1,4823809;1,5171326;1,3464572;1,3038304;1,2203129;1,150118;1,0422508;0,9771243;0,8523466;0,6700876;0,5085141;0,5624965;1,1738311;1,5722086;1,5004336;1,7115816
France;2,959307;3,0525644;3,0281049;2,8760237;2,8011547;2,7153124;2,603443;2,6882624;2,8728296;2,5457422;2,5403804;2,7154152;2,6309031;2,3310282;2,1969203;2,0308607;1,901171;1,7899572;1,7687551;1,5158333;1,2821639;1,3874994;1,9191431;1,871092;2,0597599;2,4660332;2,9113314
Germany;3,1713983;3,0152628;2,974552;2,9040838;2,7830304;2,730091;2,688094;2,6624761;2,6681289;2,6129217;2,4407315;2,4739702;2,2920104;1,8101476;1,5927736;1,390728;1,1854411;1,0353606;0,9264295;0,7935772;0,649057;0,5911665;0,7049079;0,8736486;1,0548956;1,0977596;1,1115304
Greece;7,1084877;6,4881193;5,7286787;5,0322808;4,9066939;4,8019909;4,4904576;4,5659776;4,8811362;5,1091954;6,108936;7,6662984;5,4201428;4,1641893;4,0154064;3,5817158;3,2170012;3,1379233;3,3651567;2,9716838;2,9557205;2,4532033;2,4873228;3,383704;3,4599891;3,1123734;3,0114431
Hungary;5,2791427;4,6989735;3,9996014;4,0328293;4,3331877;4,0605953;3,8472164;4,0319728;4,0590913;4,510934;4,098219;4,1408753;4,5629731;4,5108904;3,9604975;3,4383599;3,0790437;2,6429974;2,3217116;2,2128161;2,3096527;2,2383686;2,8282253;4,6763355;4,9560477;4,2274984;3,9973745
Ireland;1,9422963;1,4391121;1,3186969;1,2190125;1,0966982;1,0226252;1,0006152;1,0073101;1,2830851;2,0153409;2,8353064;3,3269674;4,1254738;4,2365766;3,7799348;2,5448706;2,2704803;1,9148018;1,5844559;1,2697603;1,000897;0,7324307;0,6377951;0,6753187;0,602631;0,5931915;0,5943823
Italy;6,102539;6,0431457;5,4205674;4,9405954;4,5801431;4,484371;4,415192;4,7281442;4,9082605;4,3872673;4,2558315;4,6197506;5,118628;4,7900378;4,5506042;4,0952873;3,8864263;3,7450996;3,6206555;3,3376813;3,4206942;3,4189279;4,0820839;3,650857;3,885627;3,8939494;3,9797938
Latvia;0,9599938;0,9243291;0,743536;0,7928669;0,7745885;0,5698097;0,4796006;0,3969905;0,6051759;1,5888011;1,8170234;1,8811273;1,7443814;1,5702178;1,4087443;1,3105904;1,1179611;1,0162151;0,80214;0,7543207;0,7246015;0,5428422;0,5074561;0,7285304;1,0934783;1,2917968;1,4214176
Lithuania;1,7314976;1,5030882;1,3047172;1,234231;0,8939103;0,7657493;0,700012;0,6623256;0,6550786;1,2352883;1,8443121;1,8531251;1,981623;1,7689381;1,7030975;1,6054717;1,4252705;1,1896046;0,9600108;0,9275125;0,7146181;0,4737149;0,3428929;0,5912498;0,7984973;0,9751616;1,1739461
Luxembourg;0,3345945;0,3074972;0,2666017;0,2416567;0,1862403;0,1913742;0,2155081;0,2806447;0,3475669;0,3624259;0,411601;0,5009761;0,4776015;0,4979989;0,404952;0,374901;0,3698935;0,3694422;0,3486431;0,3271167;0,2206073;0,1469068;0,1526107;0,2911402;0,3069542;0,3094697;0,3224079
Malta;4,0703587;3,7304777;3,87559;3,5390461;3,7076336;3,8067042;3,7282295;3,4907125;3,2999173;3,1999237;2,983104;3,1168196;2,9320299;2,7578979;2,6261502;2,2658322;2,032337;1,6799979;1,4182759;1,2580375;1,189534;1,0074265;0,896552;1,0520238;1,1850904;1,2975655;1,34524
Netherlands;3,4385912;3,0105127;2,6935719;2,4758157;2,4094527;2,2526676;2,0858158;2,0673598;2,1389561;2,1024385;1,8795624;1,8572803;1,7401159;1,6791698;1,5190966;1,3402939;1,1880446;1,0193631;0,9056579;0,7768446;0,6931116;0,5429869;0,5685134;0,6846203;0,6966666;0,7508483;0,7909979
Poland;2,9950683;3,0993054;2,8669792;2,9485848;2,695823;2,45564;2,3598463;2,1742347;2,1070675;2,4461271;2,4993584;2,5423691;2,6799947;2,5430342;1,9678047;1,7508527;1,7045381;1,5609194;1,4241565;1,3582526;1,2898931;1,0940373;1,5271942;2,0716932;2,2020165;2,5471338;2,6701002
Portugal;3,0073718;2,9883261;2,8357623;2,6584219;2,5673835;2,5677898;2,7825015;2,9661495;3,1115095;2,9815335;2,9164293;4,2659286;4,8279105;4,7688701;4,8123799;4,5335176;4,095541;3,7335339;3,3199405;2,9031204;2,8339169;2,3639482;1,8888568;2,0625686;2,0599652;2,1492452;2,2372381
Romania;3,9481608;3,4431824;2,4576497;1,6457063;1,4583043;1,2435252;0,8392689;0,7037497;0,722596;1,9011918;1,8084458;1,9245787;2,024936;1,8921401;1,6171355;1,4702436;1,3114637;1,0767588;0,9560362;1,0331162;1,2442908;1,3399567;1,3775235;1,9074397;2,3343486;2,5517113;2,7842864
Slovakia;4,0464061;3,9948897;3,5675067;2,5347657;2,1965678;1,7386859;1,4639996;1,4177275;1,3527791;1,4584622;1,2867339;1,5452705;1,7807033;1,9001196;1,9252295;1,7527677;1,6824352;1,4364109;1,3400705;1,2321428;1,171176;1,0782221;1,034963;1,1531724;1,4115191;1,5797279;1,6244923
Slovenia;2,3968712;2,346644;2,1976029;1,958399;1,6953504;1,5638071;1,3992901;1,2676278;1,1161556;1,3369671;1,6555259;1,9145125;2,049921;2,6097582;3,3039691;3,2788061;3,0732889;2,5377544;2,0291696;1,6303943;1,580596;1,2347699;1,1267156;1,2403356;1,302052;1,2689693;1,3139054
Spain;3,1633695;2,9695074;2,6291641;2,2996625;1,9887008;1,7455679;1,6087946;1,5785014;1,5769054;1,7106404;1,8973304;2,4854729;3,0264565;3,5638794;3,5329934;3,069417;2,7806694;2,5309737;2,4411108;2,2517967;2,2251761;2,1182154;2,3132156;2,3831294;2,4494432;2,5695955;2,6402851
Sweden;3,3296385;2,6518695;2,9144121;2,1090366;1,8806447;1,8101964;1,7622696;1,6983223;1,6049759;1,3118838;1,0980617;1,2353317;1,0041852;0,8607372;0,6664004;0,5486862;0,4649613;0,4227448;0,4504106;0,3960311;0,2769779;0,2238477;0,5057107;0,7083868;0,6373165;0,713421;0,6015203
