Country;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027
Austria;-2,63174;-2,40642;-0,71262;-1,42528;-1,83884;-4,94133;-2,5885;-2,60849;-1,36958;-1,57157;-5,38096;-4,46435;-2,48163;-2,17693;-1,9925;-1,92353;-0,47692;-1,45142;-0,77574;0,19519;0,53641;-8,20437;-5,6935;-3,41032;-2,56349;-4,64545;-4,18545;-4,13702;-4,13549;"General government balance in % GDP
Source:
European Commission, AMECO Database, variable code: UBLG
This variable indicates whether the general government budget (relative to Gross Domestic Product)
is in surplus (a positive number) or in deficit (a negative number). The data for the current and
next year are forecasts provided by the European Commission."
Belgium;-0,64835;-0,0793;0,23285;-0,0437;-1,86415;-0,2387;-2,71499;0,23958;0,06644;-1,09534;-5,44768;-4,13314;-4,44151;-4,34851;-3,16353;-3,17517;-2,47537;-2,43083;-0,76334;-1,04833;-2,04801;-9,0347;-5,40197;-3,53993;-4,10724;-4,36452;-5,17444;-5,1621;-5,38819
Bulgaria;;;;;;;;;-0,01047 (no €);1,41948 (no €);-4,43942 (no €);-3,66368 (no €);-1,74714 (no €);-0,80654 (no €);-0,7269 (no €);-5,38071 (no €);-1,85907 (no €);0,31814 (no €);1,62397 (no €);1,73305 (no €);2,15543 (no €);-3,82844 (no €);-3,96039 (no €);-2,93675 (no €);-1,99259 (no €);-3,04628 (no €);-3,54479;-4,11987;-4,31132
Croatia;;;;;;;;;;;;;;;-5,48517 (no €);-5,12995 (no €);-3,47847 (no €);-1,03604 (no €);0,55557 (no €);-0,05688 (no €);0,22712 (no €);-7,23928 (no €);-2,57357 (no €);0,01479 (no €);-1,09274;-2,32966;-3,00747;-2,85772;-2,6729
Cyprus;;;;;;-3,55863 (no €);-2,09549 (no €);-1,02438 (no €);3,16934 (no €);0,67229;-5,63253;-5,0588;-5,94116;-15,21746;-5,59413;-8,79722;-0,76794;0,4523;2,12727;-3,36623;1,02945;-5,57665;-1,58801;2,68406;1,70596;4,13861;3,4029;2,13767;2,49266
Czech Republic;;;;;;-2,405 (no €);-3,06116 (no €);-2,18582 (no €);-0,6779 (no €);-1,99885 (no €);-5,45626 (no €);-4,14416 (no €);-2,71183 (no €);-3,91751 (no €);-1,29851 (no €);-2,09347 (no €);-0,66574 (no €);0,68488 (no €);1,4603 (no €);0,8815 (no €);0,28275 (no €);-5,64974 (no €);-4,95118 (no €);-3,06878 (no €);-3,73471 (no €);-2,02708 (no €);-2,14743 (no €);-2,79446 (no €);-2,89283 (no €)
Denmark;1,06368 (no €);1,79173 (no €);1,12514 (no €);0,25165 (no €);0,13927 (no €);2,23479 (no €);5,20169 (no €);5,28648 (no €);5,30782 (no €);3,46247 (no €);-2,74618 (no €);-2,52055 (no €);-1,76551 (no €);-3,20243 (no €);-0,94366 (no €);1,42799 (no €);-0,89503 (no €);0,3024 (no €);1,68904 (no €);0,81041 (no €);4,28292 (no €);0,3625 (no €);4,07816 (no €);3,38929 (no €);3,43014 (no €);4,45871 (no €);2,88804 (no €);0,93411 (no €);0,51791 (no €)
Estonia;;;;;;2,41523 (no €);1,16258 (no €);2,84721 (no €);2,68928 (no €);-2,64397 (no €);-2,73129 (no €);-0,42125 (no €);0,62239;-0,39256;-0,2176;0,86126;0,24892;-0,08608;-0,52599;-0,57719;-0,10923;-5,42368;-2,53074;-0,90686;-2,65974;-1,14938;-1,98218;-4,53709;-4,82605
Euro area (20 countries);-1,57114;-1,33744;-2,00907;-2,75731;-3,15461;-2,89717;-2,6547;-1,58695;-0,74369;-2,25961;-6,25667;-6,32251;-4,243;-3,86758;-3,21182;-2,52821;-2,00916;-1,47289;-1,00352;-0,44711;-0,53781;-7,0009;-5,10159;-3,38887;-3,50307;-3,02782;-2,91709;-3,32941;-3,49544
Finland;1,68416;6,88854;4,9795;4,0838;2,44078;2,21493;2,65932;3,98818;5,11176;4,1796;-2,48164;-2,57458;-1,01288;-2,15093;-2,5219;-2,99483;-2,42683;-1,7013;-0,62927;-0,87191;-0,9341;-5,53415;-2,65231;-0,17923;-2,86075;-4,35156;-3,42624;-4,5189;-4,60908
