Country;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027
Austria;1,2329;1,81829;0,70735;-0,05304;-1,11808;-0,85522;-0,82298;0,32642;2,18547;2,07511;-2,52262;-1,51977;0,45027;0,13623;-1,10278;-1,33631;-1,26746;-0,5301;0,40025;1,55316;2,05495;-5,32603;-1,80131;2,32685;0,23809;-1,17681;-1,06784;-1,15836;-0,92477;"Output gap: gap between actual and potential GDP in % of potential GDP
Source:
European Commission, AMECO Database, variable code: AVGDGP
This variable shows the difference between actual and the potential Gross Domestic Product.
A positive number indicates a strong economic situation,
as the actual economic activity is above the level that can be sustained in the long term.
Conversely, a negative number indicates a weak economic situation,
as economic activity is below what is possible given the available production factors.
The data for the current and next year are forecasts provided by the European Commission."
Belgium;0,97189;2,11009;0,71707;0,13351;-0,93534;0,41835;0,64179;1,24163;2,92667;1,60737;-1,61603;-0,3468;0,07876;-0,75465;-1,27311;-0,51374;-0,2267;-0,39221;-0,23957;0,12971;0,88438;-5,35221;-1,0169;1,05092;0,59036;-0,13766;-0,61653;-1,30044;-1,64676
Bulgaria;;;;;;;;;3,16826 (no €);4,02483 (no €);-1,7526 (no €);-0,77568 (no €);0,39776 (no €);0,51017 (no €);-0,8915 (no €);-1,93451 (no €);-1,24325 (no €);-0,63147 (no €);-0,27421 (no €);-0,30924 (no €);1,09395 (no €);-4,13944 (no €);0,66367 (no €);2,20902 (no €);1,04725 (no €);0,69873 (no €);0,36991;-0,02555;-0,60989
Croatia;;;;;;;;;;;;;;;-4,70929 (no €);-5,67273 (no €);-4,24846 (no €);-2,03283 (no €);0,24334 (no €);1,66057 (no €);2,52239 (no €);-7,86176 (no €);0,5 (no €);3,98807 (no €);3,16081;2,38351;1,53642;0,59756;-0,10979
Cyprus;;;;;;1,71475 (no €);3,04812 (no €);3,80022 (no €);4,9633 (no €);4,67015;-0,05745;-0,05157;-1,09266;-4,21947;-8,98461;-9,57698;-6,52496;-2,35657;-0,19935;1,82529;2,99466;-4,84244;0,92837;4,72714;3,49371;3,08313;2,90275;1,63575;1,25575
Czech Republic;;;;;;0,5106 (no €);2,55299 (no €);4,82769 (no €);5,9816 (no €);4,93037 (no €);-2,19924 (no €);-1,3184 (no €);-0,88988 (no €);-2,57847 (no €);-3,57827 (no €);-2,88206 (no €);-0,40199 (no €);-0,09532 (no €);2,28194 (no €);2,36602 (no €);3,02492 (no €);-3,68553 (no €);-0,60823 (no €);0,81327 (no €);-1,3931 (no €);-1,53586 (no €);-0,54717 (no €);-0,40079 (no €);0,51919 (no €)
Denmark;2,4668 (no €);3,79253 (no €);2,73336 (no €);1,55451 (no €);0,63829 (no €);2,06704 (no €);2,94437 (no €);4,87524 (no €);3,98432 (no €);1,83304 (no €);-4,19599 (no €);-3,44458 (no €);-2,90161 (no €);-3,62089 (no €);-3,09158 (no €);-2,91284 (no €);-2,30616 (no €);-1,11145 (no €);0,03843 (no €);-0,00545 (no €);-0,03085 (no €);-3,53091 (no €);0,38845 (no €);-1,70523 (no €);-3,51245 (no €);-2,52563 (no €);-1,74333 (no €);-1,7352 (no €);-1,86171 (no €)
Estonia;;;;;;2,35586 (no €);5,10005 (no €);8,36319 (no €);10,49435 (no €);2,40039 (no €);-11,56985 (no €);-8,5281 (no €);-2,14858;-0,02027;-0,18086;0,60231;-0,00199;0,58158;2,86889;2,63473;2,39516;-3,6239;1,49268;-0,33305;-3,63379;-3,45876;-2,65282;-1,448;-0,15934
Euro area (20 countries);;;1,98313;0,94311;-0,22249;0,17217;0,15824;1,61794;2,77699;1,68494;-3,60579;-2,175;-1,13334;-2,60006;-3,33691;-2,66342;-1,88772;-1,0884;0,27209;0,71084;0,99157;-6,03766;-1,08991;1,09589;0,08441;-0,34036;-0,21425;-0,54447;-0,49012
Finland;2,00763;3,27338;1,744;-0,04928;-1,19504;-0,15895;-0,00743;1,63268;4,70235;3,91127;-4,68481;-2,00495;0,04077;-1,59624;-2,60306;-3,1953;-3,04674;-1,40532;0,80685;0,79567;1,06036;-2,1564;-0,22981;-0,32871;-2,38156;-2,42122;-2,62933;-2,30921;-1,60518
France;-0,12982;1,80283;1,7182;0,95877;0,08986;1,00636;0,96992;1,80225;2,52046;1,25915;-2,77226;-1,9877;-0,74886;-1,58498;-1,81958;-1,72116;-1,39519;-1,26906;-0,00524;0,73717;1,78352;-6,63794;-1,54453;-0,19793;-0,14674;-0,27612;-0,58983;-0,8801;-0,79627
Germany;0,62794;1,81307;1,88447;0,28391;-1,4587;-1,49345;-1,83224;0,5355;1,99179;1,56041;-4,85716;-1,45405;1,34015;0,17619;-0,91759;-0,36191;-0,41285;0,29112;1,66468;1,44001;1,31691;-3,45707;-0,23616;0,88818;-0,63705;-1,58012;-1,71977;-1,50278;-1,04725
Greece;-0,0534 (no €);-0,35817 (no €);-0,38061;-0,37372;0,04246;0,8013;-1,06392;1,88087;2,79754;1,3679;-2,90151;-7,52708;-14,36522;-18,7961;-18,41689;-16,09959;-15,07479;-13,64656;-11,56542;-8,78133;-6,30522;-14,09764;-6,02283;-0,66244;1,04288;2,23275;2,70341;2,80372;2,7029
Hungary;;;;;;1,54251 (no €);2,03277 (no €);2,90511 (no €);0,92352 (no €);0,38314 (no €);-6,66315 (no €);-5,67736 (no €);-3,99018 (no €);-5,28433 (no €);-4,01889 (no €);-1,32641 (no €);0,33345 (no €);0,8783 (no €);2,11857 (no €);3,93517 (no €);4,80258 (no €);-2,80002 (no €);0,99764 (no €);2,48088 (no €);-0,31838 (no €);-0,78791 (no €);-1,26761 (no €);-0,57235 (no €);0,2424 (no €)
Ireland;4,17757;5,41426;3,2393;2,40128;-0,29325;1,02829;1,66801;2,17134;4,15524;-1,44382;-5,84598;-3,23931;-1,33553;-2,71213;-2,5367;2,92316;5,05499;1,08333;0,8016;-1,61375;-5,27717;-5,57129;4,23279;6,64333;-1,00282;-2,18416;4,78384;-0,34561;-0,61884
Italy;-0,46709;1,7997;2,47412;1,66931;0,81528;1,24827;1,5001;2,74;3,49011;2,13108;-3,07762;-1,58031;-1,23488;-3,6413;-4,90286;-4,48717;-3,65119;-2,42474;-1,1001;-0,69587;-0,71022;-9,82599;-1,865;1,58353;1,47452;1,08575;0,80656;0,46813;0,35515
Latvia;;;;;;0,73915 (no €);3,90199 (no €);8,46931 (no €);11,84798 (no €);3,94533 (no €);-10,76157 (no €);-11,76304 (no €);-7,99552 (no €);-1,43799 (no €);-0,55263 (no €);-0,23802;0,87855;1,16204;1,87681;3,38639;1,48417;-3,71714;0,49099;1,32933;-0,66721;-1,26576;-0,05909;0,27891;0,3985
Lithuania;;;;;;1,8836 (no €);3,9089 (no €);5,09489 (no €);8,94813 (no €);5,90175 (no €);-10,57816 (no €);-10,2064 (no €);-5,56723 (no €);-2,92485 (no €);-1,24656 (no €);0,0082 (no €);0,36674;0,75975;2,38224;3,56872;3,639;-0,52624;1,61025;0,79656;-1,60966;-1,40416;-0,90469;-0,06489;-0,07106
Luxembourg;3,18698;4,9726;3,14705;2,06231;0,4857;0,46219;-0,82494;1,43228;5,90938;2,3088;-3,00247;-0,94648;-1,99569;-2,61916;-1,64811;-1,45915;-1,39933;1,00925;-0,11906;-0,59049;-0,44298;-3,10966;1,40002;-1,26747;-2,66511;-3,35657;-3,76639;-3,20571;-2,35583
Malta;;;;;;-0,99004 (no €);-0,71166 (no €);-0,71079 (no €);1,24273 (no €);2,37108;-2,25753;0,14708;-2,00089;-2,14638;-0,68986;1,11473;2,73363;-0,31912;4,92403;4,38881;0,93688;-7,5664;0,11403;-3,42095;0,31247;1,06119;-0,2186;-1,17139;-2,12277
Netherlands;1,91639;2,78702;2,00779;-0,21575;-2,15902;-1,99028;-1,56649;0,06715;1,91311;2,26119;-2,57013;-1,98806;-1,07701;-2,56566;-3,04796;-2,12819;-1,52393;-0,53463;0,50389;0,91042;1,10134;-4,55941;-0,47408;2,43214;-0,20666;-0,89492;-0,70396;-1,13649;-1,35562
Poland;;;;;;-1,91865 (no €);-1,65163 (no €);0,61311 (no €);2,94684 (no €);2,72959 (no €);1,54766 (no €);1,05362 (no €);1,83159 (no €);-0,19021 (no €);-2,4408 (no €);-2,04154 (no €);-1,1949 (no €);-1,39458 (no €);0,10962 (no €);2,07344 (no €);2,29047 (no €);-2,90403 (no €);0,93829 (no €);1,59304 (no €);-1,04765 (no €);-0,62966 (no €);-0,2294 (no €);0,14785 (no €);-0,13279 (no €)
Portugal;1,65246;2,20697;1,43995;0,27709;-1,88631;-1,3436;-1,45007;-0,76975;0,92302;0,58264;-2,34636;-0,55692;-1,63327;-4,19404;-4,16452;-3,27874;-2,09312;-1,00539;0,74859;1,96944;2,92324;-6,81487;-3,58348;0,72545;1,13745;0,65615;0,24129;-0,013;0,02513
Romania;;;;;;;;;5,02024 (no €);7,12289 (no €);-1,33996 (no €);-5,96356 (no €);-2,74593 (no €);-1,99891 (no €);-2,81524 (no €);-0,98555 (no €);-1,0822 (no €);-1,9497 (no €);0,86764 (no €);1,39171 (no €);0,99159 (no €);-5,51661 (no €);-2,44773 (no €);-0,54115 (no €);-0,77827 (no €);-1,35935 (no €);-1,39533 (no €);-2,49369 (no €);-1,65911 (no €)
Slovakia;;;;;;-1,21499 (no €);-0,58555 (no €);1,95895 (no €);6,31968 (no €);5,7728 (no €);-2,94864;0,24469;-1,17956;-1,99963;-3,2696;-2,64987;-0,53214;-0,69161;0,13502;1,73283;1,56613;-2,38231;1,56788;0,71321;0,60046;0,24045;-0,4978;-1,05566;-0,7718
Slovenia;;;;;;1,64832 (no €);2,46243 (no €);4,95955 (no €);8,54342;8,08392;-2,47753;-2,71654;-2,97061;-6,47157;-8,00707;-6,47225;-5,24485;-3,38355;0,23354;2,57899;3,57516;-2,84757;2,82809;3,21661;2,96031;2,30132;1,15344;0,90741;1,00573
Spain;1,00676;3,36065;4,01283;3,73491;3,16707;2,95941;2,98144;3,53676;3,29388;1,07523;-3,92408;-5,05986;-6,29272;-8,72322;-9,56445;-8,0774;-4,47477;-1,93903;0,36785;2,06534;3,06245;-8,48067;-3,33187;0,87156;0,97173;1,88007;2,01191;1,74726;1,1904
Sweden;0,41442 (no €);1,97243 (no €);0,34506 (no €);-0,29721 (no €);-1,1582 (no €);0,27925 (no €);0,56672 (no €);2,61244 (no €);3,36042 (no €);0,35612 (no €);-5,28114 (no €);-1,49055 (no €);0,01336 (no €);-1,79743 (no €);-2,16285 (no €);-1,63178 (no €);0,6534 (no €);0,67162 (no €);0,34697 (no €);0,00569 (no €);0,53841 (no €);-3,08708 (no €);0,21794 (no €);-0,07454 (no €);-1,59113 (no €);-1,85726 (no €);-1,75013 (no €);-1,4046 (no €);-0,76475 (no €)
