date;opinion_score;n_speeches;leitzins
2019-01-06 00:00:00;-0,6;1;-0,4
2019-02-17 00:00:00;-0,11;27;-0,4
2019-03-31 00:00:00;-0,51;21;-0,4
2019-05-12 00:00:00;-0,48;13;-0,4
2019-06-23 00:00:00;-0,61;17;-0,4
2019-08-04 00:00:00;-0,62;14;-0,4
2019-09-15 00:00:00;-0,34;8;-0,4
2019-10-27 00:00:00;-0,46;41;-0,5
2019-12-08 00:00:00;-0,34;38;-0,5
2020-01-19 00:00:00;-0,59;10;-0,5
2020-03-01 00:00:00;-0,52;31;-0,5
2020-04-12 00:00:00;-0,78;12;-0,5
2020-05-24 00:00:00;-0,61;12;-0,5
2020-07-05 00:00:00;-0,63;16;-0,5
2020-08-16 00:00:00;-0,57;7;-0,5
2020-09-27 00:00:00;-0,61;22;-0,5
2020-11-08 00:00:00;-0,46;29;-0,5
2020-12-20 00:00:00;-0,68;22;-0,5
2021-01-31 00:00:00;-0,39;7;-0,5
2021-03-14 00:00:00;-0,27;21;-0,5
2021-04-25 00:00:00;-0,53;18;-0,5
2021-06-06 00:00:00;-0,25;15;-0,5
2021-07-18 00:00:00;-0,27;22;-0,5
2021-08-29 00:00:00;-0,75;2;-0,5
2021-10-10 00:00:00;-0,11;9;-0,5
2021-11-21 00:00:00;-0,1;18;-0,5
2022-01-02 00:00:00;0,04;7;-0,5
2022-02-13 00:00:00;0,57;9;-0,5
2022-03-27 00:00:00;0,39;15;-0,5
2022-05-08 00:00:00;0,49;20;-0,5
2022-06-19 00:00:00;0,67;30;-0,5
2022-07-31 00:00:00;0,78;15;0,0
2022-09-11 00:00:00;0,92;11;0,0
2022-10-23 00:00:00;0,84;37;0,75
2022-12-04 00:00:00;0,78;39;1,5
2023-01-15 00:00:00;0,72;10;2,0
2023-02-26 00:00:00;0,78;20;2,5
2023-04-09 00:00:00;0,93;19;3,0
2023-05-21 00:00:00;0,7;23;3,25
2023-07-02 00:00:00;0,72;35;3,5
2023-08-13 00:00:00;0,89;11;3,75
2023-09-24 00:00:00;0,85;8;4,0
2023-11-05 00:00:00;0,68;19;4,0
2023-12-17 00:00:00;0,68;22;4,0
2024-01-28 00:00:00;0,53;3;4,0
2024-03-10 00:00:00;0,47;20;4,0
2024-04-21 00:00:00;0,16;20;4,0
2024-06-02 00:00:00;0,35;20;4,0
2024-07-14 00:00:00;0,45;24;3,75
2024-08-25 00:00:00;0,3;5;3,75
2024-10-06 00:00:00;0,41;20;3,5
2024-11-17 00:00:00;0,22;21;3,25
2024-12-29 00:00:00;0,1;22;3,0
2025-02-09 00:00:00;0,03;9;2,75
2025-03-23 00:00:00;0,22;16;2,5
2025-05-04 00:00:00;-0,1;17;2,25
2025-06-15 00:00:00;-0,04;16;2,0
2025-07-27 00:00:00;0,31;13;2,0
2025-09-07 00:00:00;0,3;2;2,0
2025-10-19 00:00:00;0,3;14;2,0
2025-11-30 00:00:00;0,23;16;2,0
2026-01-11 00:00:00;0,18;13;2,0
2026-02-22 00:00:00;0,2;11;2,0
2026-04-05 00:00:00;0,38;14;2,0
