name;country;role_euro;organisation_euro;birth_year;gender;field_of_study;starting_date;termination_date;incumbent;count_speeches;hawkish_score;year_start;year_stop;from_to;role_euro__from_to;born_raised;education;career
Mario Draghi;Italy;president;ecb;1947;male;Economics;2011-11-01 00:00:00;2019-10-31 00:00:00;False;253;-0,63;2011;2019;2011 - 2019;president,  2011 - 2019 ;*1947, Italy;education: Economics;experience: Professor, Bank
Willem F Duisenberg;Netherlands;president;ecb;1935;male;Economics;1997-07-01 00:00:00;2003-10-31 00:00:00;False;130;0,39;1997;2003;1997 - 2003;president,  1997 - 2003 ;*1935, Netherlands;education: Economics;experience: Politics
Christine Lagarde;France;president;ecb;1956;femlae;Law;2019-11-01 00:00:00;0;True;145;0,16;2019;0;since 2019  ;president,  since 2019   ;*1956, France;education: Law;experience: IMF, Politics
Jean-Claude Trichet;France;president;ecb;1942;male;Economics;2003-11-01 00:00:00;2011-10-31 00:00:00;False;399;0,44;2003;2011;2003 - 2011;president,  2003 - 2011 ;*1942, France;education: Economics;experience: AdminFinance
Vítor Constâncio;Portugal;vice-president;ecb;1943;male;Economics;2010-06-01 00:00:00;2018-05-31 00:00:00;False;92;-0,47;2010;2018;2010 - 2018;vice-president,  2010 - 2018 ;*1943, Portugal;education: Economics;experience: Politics
Luis de Guindos;Spain;vice-president;ecb;1960;male;Economics, Business;2018-06-01 00:00:00;0;True;78;-0,04;2018;0;since 2018  ;vice-president,  since 2018   ;*1960, Spain;education: Economics, Business;experience: Credit, Politics
Christian Noyer;France;vice-president;ecb;1950;male;Law;1998-06-01 00:00:00;2002-05-31 00:00:00;False;43;0,54;1998;2002;1998 - 2002;vice-president,  1998 - 2002 ;*1950, France;education: Law;experience: AdminFinance
Lucas Papademos;Greece;vice-president;ecb;1947;male;Economics;2002-06-01 00:00:00;2010-05-31 00:00:00;False;69;0,37;2002;2010;2002 - 2010;vice-president,  2002 - 2010 ;*1947, Greece;education: Economics;experience: CentralBank
Otmar Issing;Germany;chief economist;ecb;1936;male;Economics;1998-06-01 00:00:00;2006-05-31 00:00:00;False;18;0,64;1998;2006;1998 - 2006;chief economist,  1998 - 2006 ;*1936, Germany;education: Economics;experience: University
Philip R, Lane;Ireland;chief economist;ecb;1969;male;Economics;2019-06-01 00:00:00;0;True;64;-0,07;2019;0;since 2019  ;chief economist,  since 2019   ;*1969, Ireland;education: Economics;experience: Professor, Research
Peter Praet;Belgium;chief economist;ecb;1949;male;Economics;2011-06-01 00:00:00;2019-05-31 00:00:00;False;130;-0,67;2011;2019;2011 - 2019;chief economist,  2011 - 2019 ;*1949, Belgium;education: Economics;experience: Bank, Politics
Jürgen Stark;Germany;chief economist;ecb;1948;male;Economics;2006-06-01 00:00:00;2011-12-31 00:00:00;False;48;0,57;2006;2011;2006 - 2011;chief economist,  2006 - 2011 ;*1948, Germany;education: Economics;experience: AdminFinance
