Year;name_excel;mean_score;row_count;country;country_code;role;median_score_year
1997;Antonio Fazio;0,9;2;Italy;IT;Governor;0,76
1997;Jean-Claude Trichet;0,8;1;France;FR;Governor;0,76
1997;Maurice O’Connell;0,8;1;Ireland;IE;Governor;0,76
1997;Nout Wellink;0,7;2;Netherlands;NL;Governor;0,76
1997;Sirkka Hämäläinen;-0,7;1;Finland;FI;Governor;0,76
1997;Willem F Duisenberg;0,72;4;Netherlands;NL;Governor;0,76
1998;Antonio Fazio;0,85;2;Italy;IT;Governor;0,6
1998;Klaus Liebscher;0,6;1;Austria;AT;Governor;0,6
1998;Nout Wellink;0,03;3;Netherlands;NL;Governor;0,6
1998;Sirkka Hämäläinen;0,7;2;Finland;FI;Governor;0,6
1998;Willem F Duisenberg;0,19;10;Netherlands;NL;President;0,6
1999;Antonio Fazio;0,45;2;Italy;IT;Governor;0,53
1999;Christian Noyer;0,62;12;France;FR;Vice-President;0,53
1999;Einars Repše;0,35;2;Latvia;LV;Governor;0,53
1999;Ernst Welteke;;0;Germany;DE;Governor;0,53
1999;Guy Quaden;0,6;1;Belgium;BE;Governor;0,53
1999;Jean-Claude Trichet;0,7;3;France;FR;Governor;0,53
1999;Klaus Liebscher;0,15;2;Austria;AT;Governor;0,53
1999;Nout Wellink;;0;Netherlands;NL;Governor;0,53
1999;Otmar Issing;0,8;1;Germany;DE;Chief Economist;0,53
1999;Willem F Duisenberg;0,47;33;Netherlands;NL;President;0,53
2000;Antonio Fazio;0,7;1;Italy;IT;Governor;0,64
2000;Christian Noyer;0,61;13;France;FR;Vice-President;0,64
2000;Einars Repše;0,6;1;Latvia;LV;Governor;0,64
2000;Ernst Welteke;0,65;4;Germany;DE;Governor;0,64
2000;Guy Quaden;0,0;1;Belgium;BE;Governor;0,64
2000;Jean-Claude Trichet;0,62;5;France;FR;Governor;0,64
2000;Klaus Liebscher;0,57;4;Austria;AT;Governor;0,64
2000;Luis Ángel Rojo;0,7;1;Spain;ES;Governor;0,64
2000;Maurice O’Connell;0,8;2;Ireland;IE;Governor;0,64
2000;Nout Wellink;0,55;2;Netherlands;NL;Governor;0,64
2000;Otmar Issing;0,8;2;Germany;DE;Chief Economist;0,64
2000;Willem F Duisenberg;0,72;28;Netherlands;NL;President;0,64
2001;Antonio Fazio;-0,6;1;Italy;IT;Governor;0,4
2001;Christian Noyer;0,49;11;France;FR;Vice-President;0,4
2001;Einars Repše;0,6;1;Latvia;LV;Governor;0,4
2001;Ernst Welteke;0,25;8;Germany;DE;Governor;0,4
2001;Guy Quaden;0,47;3;Belgium;BE;Governor;0,4
2001;Jaime Caruana ;0,7;1;Spain;ES;Governor;0,4
2001;Jean-Claude Trichet;0,4;6;France;FR;Governor;0,4
2001;Klaus Liebscher;0,38;5;Austria;AT;Governor;0,4
2001;Lucas Papademos;0,0;1;Greece;EL;Governor;0,4
