Country;birth_year;career_1;career_2;count_speeches;country;euro_accession_year;field_of_study;gender;hawkish_score;incumbent;name;organisation_euro;role_euro;starting_date;termination_date
Andres Lipstok;1957;Politics;;6;Estonia;2011;Finance;male;0,23;False;Andres Lipstok;national governors;governor;2005-06-07 00:00:00;2012-06-07 00:00:00;
Antonio Fazio;1936;CentralBank;;17;Italy;;Economics;male;0,39;False;Antonio Fazio;national governors;governor;1993-05-04 00:00:00;2005-12-20 00:00:00
António José Fernandes de Sousa;1955;Private;;;Portugal;;Management Sciences;male;;False;António José Fernandes de Sousa;national governors;governor;1994-01-01 00:00:00;2000-01-31 00:00:00
Ardo Hansson;1958;Politics;;4;Estonia;2011;Economics;male;0,15;False;Ardo Hansson;national governors;governor;2012-06-08 00:00:00;2019-06-06 00:00:00
Athanasios Orphanides;1962;Economist;;2;Cyprus;2008;Economics;male;0,6;False;Athanasios Orphanides;national governors;governor;2008-01-01 00:00:00;2012-05-02 00:00:00
Axel Weber;1957;Professor;;55;Germany;;Economics;male;0,59;False;Axel Weber;national governors;governor;2004-04-30 00:00:00;2011-04-30 00:00:00
Benoît Cœuré;1969;Economist;Politics;190;France;;Economics;male;-0,48;False;Benoît Cœuré;ecb;executive board;2012-01-01 00:00:00;2019-12-31 00:00:00
Boris Vujčić;1964;EZB (external advisor in the Monetary Matters Department);;7;Croatia;2023;Economics;male;0,34;True;Boris Vujčić;national governors;governor;2012-07-08 00:00:00;NaT
Boštjan Jazbec;1970;OtherAdmin;;1;Slovenia;2007;Economics;???;-0,8;False;Boštjan Jazbec;national governors;governor;2013-07-17 00:00:00;2018-04-30 00:00:00
Boštjan Vasle;1969;Research/Expertise;;5;Slovenia;2007;Economics;male;0,72;True;Boštjan Vasle;national governors;governor;2019-01-09 00:00:00;NaT
Carlos da Silva Costa;1949;Resaerch;;14;Portugal;;Economics;male;-0,1;False;Carlos da Silva Costa;national governors;governor;2010-06-07 00:00:00;2020-07-19 00:00:00
Christian Noyer;1950;AdminFinance;;43;France;;Law;male;0,54;False;Christian Noyer;ecb;vice-president;1998-06-01 00:00:00;2002-05-31 00:00:00
Christine Lagarde;1956;IMF;Politics;134;France;;Law;femlae;0,15;True;Christine Lagarde;ecb;president;2019-11-01 00:00:00;NaT
Christodoulos Christodoulou;1939;Teacher;Politcs;;Cyprus;2008;Law;male;;False;Christodoulos Christodoulou;national governors;governor;2004-04-01 00:00:00;2007-12-31 00:00:00
Chrystalla Georghadji;1956;Research;Court of Audit;;Cyprus;2008;Economics;female;;False;Chrystalla Georghadji;national governors;governor;2014-04-11 00:00:00;2019-04-01 00:00:00
Constantinos Herodotou;1970;Investestmen Banker;;2;Cyprus;2008;Economics;male;0,85;True;Constantinos Herodotou;national governors;governor;2019-04-02 00:00:00;NaT
Edward Scicluna;1946;Teacher;Audit;5;Malta;2008;Economics;male;0,5;True;Edward Scicluna;national governors;governor;2021-01-01 00:00:00;NaT
Einars Repše;;;;4;Latvia;2014;;;0,47;False;Einars Repše;national governors;governor;1991-09-03 00:00:00;2001-12-20 00:00:00
Erkki Liikanen;1950;Politics;;50;Finland;;Political Science;male;-0,06;False;Erkki Liikanen;national governors;governor;2004-07-12 00:00:00;2018-07-11 00:00:00
Ernst Welteke;1942;Politics;;19;Germany;;Economics;male;0,4;False;Ernst Welteke;national governors;governor;1999-09-01 00:00:00;2004-04-16 00:00:00
Eugenio Domingo Solans;1945;University;;;Spain;;Economics;male;;False;Eugenio Domingo Solans;ecb;executive board;1998-06-01 00:00:00;2004-05-31 00:00:00
Ewald Nowotny;1944;Professor;;23;Austria;;Economics;male;-0,13;False;Ewald Nowotny;national governors;governor;2008-09-01 00:00:00;2019-08-31 00:00:00
Fabio Panetta;1959;Bank;OECD;28;Italy;;Economics;male;0,07;False;Fabio Panetta;ecb;executive board;2020-01-01 00:00:00;2023-10-31 00:00:00
France Arhar;;;;;Slovenia;2007;;;;False;France Arhar;national governors;governor;1991-03-06 00:00:00;2001-03-31 00:00:00
Frank Elderson;1970;Bank;;16;Netherlands;;Law;male;0,42;True;Frank Elderson;ecb;executive board;2020-12-15 00:00:00;NaT
François Villeroy de Galhau;1959;Bank;Politics;150;France;;Economics;male;-0,02;True;François Villeroy de Galhau;national governors;governor;2015-11-01 00:00:00;NaT
Gabriel Makhlouf;1960;Civil Service;;48;Ireland;;Economics;male;0,32;True;Gabriel Makhlouf;national governors;governor;2019-09-01 00:00:00;NaT
Gaston Reinesch;1958;Professor;Consultant;2;Luxembourg;;Economics;male;-0,8;True;Gaston Reinesch;national governors;governor;2013-01-01 00:00:00;NaT
Gediminas Šimkus;1977;Economist;Bank;2;Lithuania;2015;Economics;male;0,2;True;Gediminas Šimkus;national governors;governor;2021-04-08 00:00:00;NaT
George A Provopoulos;1950;Bank;;13;Greece;2001;Economics;male;-0,3;False;George A Provopoulos;national governors;governor;2008-06-15 00:00:00;2014-06-30 00:00:00
Gertrude Tumpel-Gugerell;1952;CentralBank;;25;Austria;;Economics;female;0,18;False;Gertrude Tumpel-Gugerell;ecb;executive board;2003-06-01 00:00:00;2011-05-31 00:00:00
Guy Quaden;1945;Univerity;;21;Belgium;;Economics;male;0,23;False;Guy Quaden;national governors;governor;1999-03-01 00:00:00;2011-03-31 00:00:00
Ignazio Visco;1949;Bank;;97;Italy;;Economics;male;-0,35;False;Ignazio Visco;national governors;governor;2011-11-01 00:00:00;2023-10-31 00:00:00
