Country;euJoin;euLeave;euroJoin;euroLeave
Albania;;;;;
Andorra;;;;
Austria;1995-01-01;;1999-01-01;
Belarus;;;;
Belgium;1958-01-01;;1999-01-01;
Bosnia and Herzegovina;;;;
Bulgaria;2007-01-01;;2025-01-01;
Croatia;2013-07-01;;2023-01-01;
Cyprus;2004-05-01;;2008-01-01;
Czech Republic;2004-05-01;;;
Denmark;1973-01-01;;;
Estonia;2004-05-01;;2011-01-01;
Finland;1995-01-01;;1999-01-01;
France;1958-01-01;;1999-01-01;
Germany;1958-01-01;;1999-01-01;
Greece;1981-01-01;;2001-01-01;
Hungary;2004-05-01;;;
Ireland;1973-01-01;;1999-01-01;
Italy;1958-01-01;;1999-01-01;
Latvia;2004-05-01;;2014-01-01;
Lithuania;2004-05-01;;2015-01-01;
Luxembourg;1958-01-01;;1999-01-01;
Macedonia;;;;
Malta;2004-05-01;;2008-01-01;
Moldova;;;;
Montenegro;;;;
Netherlands;1958-01-01;;1999-01-01;
Norway;;;;
Poland;2004-05-01;;;
Portugal;1986-01-01;;1999-01-01;
Romania;2007-01-01;;;
Serbia;;;;
Slovakia;2004-05-01;;2009-01-01;
Slovenia;2004-05-01;;2007-01-01;
Spain;1986-01-01;;1999-01-01;
Sweden;1995-01-01;;;
Switzerland;;;;
Ukraine;;;;
United Kingdom;1973-01-01;2020-01-31;;
